시군명,학교구분명,공사립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
가평군,초등학교,공립,목동초등학교,031-581-0615,경기도 가평군 북면 이곡리 13-45번지 목동초등학교,경기도 가평군 북면 석장모루길 13,12407,37.8797004527,127.5486018306
가평군,초등학교,공립,미원초등학교,031-584-7708,경기도 가평군 설악면 신천리 439-2번지 미원초등학교,경기도 가평군 설악면 신천중앙로120번길 11,12465,37.6794161295,127.4901687622
가평군,초등학교,공립,미원초등학교위곡분교장,031-584-2953,경기도 가평군 설악면 위곡리 718-1번지,경기도 가평군 설악면 한서로 233,12463,37.6703360653,127.5153059510
가평군,초등학교,공립,방일초등학교,031-584-7209,경기도 가평군 설악면 방일리 50번지 방일초등학교,경기도 가평군 설악면 양방가루재길 76,12472,37.6290950508,127.4993897462
가평군,초등학교,공립,상색초등학교,031-582-4306,경기도 가평군 가평읍 상색리 171-2번지 상색초등학교,경기도 가평군 가평읍 태봉두밀로 34-31,12426,37.8051831310,127.4848848704
가평군,초등학교,공립,상천초등학교,031-584-0622,경기도 가평군 청평면 상천리 1299-4번지 상천초등학교,경기도 가평군 청평면 상천역로19번길 38,12449,37.7706025752,127.4559794119
가평군,초등학교,공립,연하초등학교,031-585-2006,경기도 가평군 상면 연하리 452-1번지,경기도 가평군 상면 비룡로 2199-19,12444,37.8029852943,127.3426748976
가평군,초등학교,공립,율길초등학교,031-585-0585,경기도 가평군 상면 율길리 454-1번지 율길초등학교,경기도 가평군 상면 청군로 2090,12441,37.8374192084,127.2883726006
가평군,초등학교,공립,조종초등학교,031-585-0582,경기도 가평군 조종면 현리 276번지,경기도 가평군 조종면 조종새싹로 13-9,12437,37.8209863258,127.3487882533
가평군,중학교,공립,가평북중학교,031-581-0618,경기도 가평군 북면 이곡리 13-45번지 가평북중학교,경기도 가평군 북면 석장모루길 13,12407,37.8797004527,127.5486018306
가평군,중학교,공립,설악중학교,031-584-7779,경기도 가평군 설악면 신천리 72번지 설악중학교,경기도 가평군 설악면 한양부로 21-1,12465,37.6817788879,127.4939705178
가평군,중학교,사립,청심국제중학교,031-589-8900,경기도 가평군 설악면 송산리 산102번지 청심국제중고등학교,경기도 가평군 설악면 미사리로 324-213,12461,37.6873354552,127.5379949704
가평군,고등학교,공립,가평고등학교,031-580-7003,경기도 가평군 가평읍 대곡리 113번지,경기도 가평군 가평읍 호반로 2607-7,12421,37.8180127895,127.5126340043
가평군,고등학교,공립,조종고등학교,031-589-7350,경기도 가평군 조종면 현리 438번지,경기도 가평군 조종면 연등윗길 22,12438,37.8137864429,127.3461767493
가평군,초등학교,공립,대성초등학교,031-584-0794,경기도 가평군 청평면 대성리 399-16번지 대성초등학교,경기도 가평군 청평면 경춘로 75,12457,37.6827196794,127.3775632570
고양시,중학교,공립,도래울중학교,031-964-9571,경기도 고양시 덕양구 도내동 988번지,경기도 고양시 덕양구 도래울로 57,10551,37.6317479978,126.8685911587
고양시,중학교,공립,발산중학교,031-910-9999,경기도 고양시 일산서구 주엽동 56번지 발산중학교,경기도 고양시 일산서구 고봉로 99,10361,37.6696603062,126.7699015767
고양시,중학교,공립,백석중학교,031-960-6711,경기도 고양시 일산동구 백석동 1346번지 백석중학교,경기도 고양시 일산동구 호수로 404,10448,37.6416642958,126.7824296110
고양시,중학교,공립,안곡중학교,031-830-2900,경기도 고양시 일산동구 중산동 1709번지 안곡중학교,경기도 고양시 일산동구 하늘마을로 93,10310,37.6807919267,126.7865649395
고양시,중학교,공립,원당중학교,031-960-1910,경기도 고양시 덕양구 주교동 527-5번지,경기도 고양시 덕양구 마상로 1,10296,37.6640771732,126.8230170643
고양시,중학교,공립,일산양일중학교,031-960-1510,경기도 고양시 일산동구 식사동 1554번지 일산양일중학교,경기도 고양시 일산동구 위시티3로 47,10323,37.6768492269,126.8149039737
고양시,중학교,공립,저동중학교,031-915-1903,경기도 고양시 일산동구 정발산동 1192번지 저동중학교,경기도 고양시 일산동구 무궁화로 159,10359,37.6704058992,126.7780488117
고양시,중학교,공립,중산중학교,031-960-6370,경기도 고양시 일산동구 중산동 1575-2번지 중산중학교,경기도 고양시 일산동구 탄중로 361,10332,37.6910665410,126.7836553144
고양시,중학교,공립,풍동중학교,070-4323-6979,경기도 고양시 일산동구 풍동 1260번지 풍동중학교,경기도 고양시 일산동구 숲속마을1로 101,10306,37.6705170798,126.7995955579
고양시,중학교,공립,한수중학교,031-929-4701,경기도 고양시 일산서구 주엽동 131번지,경기도 고양시 일산서구 주엽로 117,10384,37.6695150105,126.7560513378
고양시,중학교,공립,현산중학교,031-910-8300,경기도 고양시 일산서구 일산동 1915번지 현산중학교,경기도 고양시 일산서구 일청로 85,10346,37.6911825170,126.7735757166
고양시,중학교,사립,고양제일중학교,031-962-8392,경기도 고양시 덕양구 관산동 332번지 고양제일중학교,경기도 고양시 덕양구 통일로 820,10286,37.6902925450,126.8606173462
고양시,고등학교,공립,경기영상과학고등학교,031-919-1160,경기도 고양시 일산서구 주엽동 95번지,경기도 고양시 일산서구 강선로 8,10365,37.6652115548,126.7619364925
고양시,고등학교,공립,고양국제고등학교,031-994-8080,경기도 고양시 일산동구 식사동 1483번지,경기도 고양시 일산동구 위시티4로 112,10321,37.6834606419,126.8083234129
고양시,고등학교,공립,대화고등학교,031-911-1963,경기도 고양시 일산서구 대화동 1978번지,경기도 고양시 일산서구 대화로 100,10221,37.6683541545,126.7320492081
고양시,초등학교,공립,송포초등학교,031-923-0008,경기도 고양시 일산서구 가좌동 355-1번지 송포초등학교,경기도 고양시 일산서구 송산로 379,10210,37.6855998424,126.7210464202
고양시,초등학교,공립,황룡초등학교,031-915-0291,경기도 고양시 일산서구 탄현동 1474번지,경기도 고양시 일산서구 탄현로 75,10240,37.6981000684,126.7680664344
고양시,중학교,공립,화수중학교,031-965-4385,경기도 고양시 덕양구 화정동 855번지 화수중학교,경기도 고양시 덕양구 화수로 47,10473,37.6447958752,126.8348474955
고양시,고등학교,공립,백양고등학교,031-978-8128,경기도 고양시 덕양구 행신동 897번지 백양고등학교,경기도 고양시 덕양구 화신로 199,10483,37.6292139302,126.8382924118
고양시,초등학교,공립,고양용현초등학교,031-970-0163,경기도 고양시 덕양구 행신동 770번지 고양용현초등학교,경기도 고양시 덕양구 화신로 21,10527,37.6148071716,126.8381542782
고양시,초등학교,공립,용정초등학교,031-967-0366,경기도 고양시 덕양구 화정동 918번지,경기도 고양시 덕양구 은빛로17번길 53,10476,37.6402202833,126.8295440283
고양시,중학교,공립,덕양중학교,02-3158-4896,경기도 고양시 덕양구 화전동 274-3번지,경기도 고양시 덕양구 중앙로176번길 18-29,10538,37.6043889372,126.8717319657
고양시,중학교,공립,백신중학교,031-901-1741,경기도 고양시 일산동구 마두동 788번지 백신중학교,경기도 고양시 일산동구 강촌로 89,10415,37.6509639140,126.7832973232
고양시,고등학교,공립,능곡고등학교,031-972-1939,경기도 고양시 덕양구 토당동 394-3번지,경기도 고양시 덕양구 지도로 76,10515,37.6235280436,126.8253463195
고양시,초등학교,공립,고양동산초등학교,02-381-1980,경기도 고양시 덕양구 동산동 359번지,경기도 고양시 덕양구 동세로 32,10597,37.6462456666,126.8865359132
고양시,초등학교,공립,고양신일초등학교,031-912-2071,경기도 고양시 일산서구 일산동 1075번지 고양신일초등학교,경기도 고양시 일산서구 강선로 183,10374,37.6791578441,126.7705973783
고양시,초등학교,공립,고양초등학교,031-962-0323,경기도 고양시 덕양구 고양동 236번지 고양초등학교,경기도 고양시 덕양구 혜음로13번길 22-7,10275,37.7027125159,126.8997829853
고양시,초등학교,공립,고양화정초등학교,031-970-1963,경기도 고양시 덕양구 화정동 942번지 고양화정초등학교,경기도 고양시 덕양구 화신로 333,10501,37.6335748869,126.8260134892
고양시,초등학교,공립,낙민초등학교,031-902-1323,경기도 고양시 일산동구 마두동 795번지 낙민초등학교,경기도 고양시 일산동구 강석로 134,10415,37.6535438576,126.7801847525
고양시,초등학교,공립,냉천초등학교,031-902-3414,경기도 고양시 일산동구 마두동 830번지 냉천초등학교,경기도 고양시 일산동구 산두로 99,10407,37.6663481004,126.7858248206
고양시,초등학교,공립,다솜초등학교,031-932-8559,경기도 고양시 일산동구 풍동 1232번지 다솜초등학교,경기도 고양시 일산동구 숲속마을로 139,10303,37.6722956486,126.7965189549
고양시,초등학교,공립,덕은초등학교,02-3158-1617,경기도 고양시 덕양구 화전동 274-6번지,경기도 고양시 덕양구 중앙로176번길 18-4,10538,37.6033072632,126.8712808882
고양시,초등학교,공립,도래울초등학교,031-963-6896,경기도 고양시 덕양구 도내동 1012번지 도래울초등학교,경기도 고양시 덕양구 도래울3로 5,10551,37.6314166114,126.8703363710
고양시,초등학교,공립,목암초등학교,031-962-4467,경기도 고양시 덕양구 고양동 722번지 목암초등학교,경기도 고양시 덕양구 푸른마을로 63,10270,37.7137353700,126.9045877235
고양시,초등학교,공립,문화초등학교,031-912-2102,경기도 고양시 일산서구 주엽동 37번지 문화초등학교,경기도 고양시 일산서구 강선로 123,10375,37.6746288523,126.7674943103
고양시,초등학교,공립,상탄초등학교,031-914-0303,경기도 고양시 일산서구 탄현동 1483번지 상탄초등학교,경기도 고양시 일산서구 현중로 47,10243,37.6947638619,126.7667390375
고양시,초등학교,공립,성라초등학교,031-966-4208,경기도 고양시 덕양구 성사동 732번지 성라초등학교,경기도 고양시 덕양구 호국로716번길 13-19,10469,37.6523532503,126.8336179603
고양시,초등학교,공립,성석초등학교,031-977-7198,경기도 고양시 일산동구 문봉동 203-6번지 성석초등학교,경기도 고양시 일산동구 문봉길 110,10257,37.7070094691,126.8124237104
고양시,초등학교,공립,소만초등학교,031-970-2144,경기도 고양시 덕양구 행신동 780번지 소만초등학교,경기도 고양시 덕양구 화신로 48,10529,37.6171605187,126.8394516350
고양시,초등학교,공립,신원초등학교,02-381-5171,경기도 고양시 덕양구 신원동 601번지,경기도 고양시 덕양구 신원3로 21,10567,37.6676338311,126.8856978068
고양시,초등학교,공립,아람초등학교,031-979-5412,경기도 고양시 덕양구 행신동 1069번지,경기도 고양시 덕양구 서정마을로 36,10491,37.6192203119,126.8503435286
고양시,초등학교,공립,양일초등학교,031-967-1492,경기도 고양시 일산동구 식사동 1477번지,경기도 고양시 일산동구 위시티로 151,10317,37.6851267317,126.8134319716
고양시,초등학교,공립,원당초등학교,031-969-6661,경기도 고양시 덕양구 주교동 313-8번지 원당초등학교,경기도 고양시 덕양구 마상로107번길 13,10298,37.6620228236,126.8351486724
고양시,초등학교,공립,율동초등학교,031-913-0384,경기도 고양시 일산동구 정발산동 1117번지,경기도 고양시 일산동구 산두로 223,10357,37.6752100406,126.7790998363
고양시,초등학교,공립,일산초등학교,031-975-2394,경기도 고양시 일산서구 일산동 630-1번지,경기도 고양시 일산서구 일중로15번길 38,10353,37.6825480954,126.7719358424
고양시,초등학교,공립,장촌초등학교,031-914-0471,경기도 고양시 일산서구 대화동 2269번지,경기도 고양시 일산서구 호수로856번길 43,10383,37.6728236784,126.7485706488
고양시,초등학교,공립,정발초등학교,031-902-0184,경기도 고양시 일산동구 마두동 758번지,경기도 고양시 일산동구 강송로 190,10416,37.6554066518,126.7838168592
고양시,초등학교,공립,풍산초등학교,031-908-8475,경기도 고양시 일산동구 풍동 1284번지 풍산초등학교,경기도 고양시 일산동구 숲속마을로 51,10307,37.6666018310,126.7966820621
고양시,초등학교,공립,한뫼초등학교,031-976-7502,경기도 고양시 일산서구 일산동 960-9번지,경기도 고양시 일산서구 고양대로 629,10351,37.6863755736,126.7665729053
고양시,초등학교,공립,한수초등학교,031-912-2051,경기도 고양시 일산서구 주엽동 116번지 한수초등학교,경기도 고양시 일산서구 주엽로 118,10385,37.6689590657,126.7573226273
고양시,초등학교,공립,행주초등학교,031-979-3045,경기도 고양시 덕양구 행주내동 175번지 임의로수정,경기도 고양시 덕양구 행주로17번길 70,10440,37.6029397710,126.8246818230
고양시,초등학교,공립,호곡초등학교,031-918-7086,경기도 고양시 일산서구 탄현동 117-1번지 호곡초등학교,경기도 고양시 일산서구 탄현로 109,10239,37.7008726553,126.7668784103
고양시,초등학교,공립,화중초등학교,031-963-8365,경기도 고양시 덕양구 화정동 871번지 화중초등학교,경기도 고양시 덕양구 화중로152번길 43,10474,37.6405537186,126.8358427656
고양시,중학교,공립,고양송산중학교,031-910-1305,경기도 고양시 일산서구 가좌동 1100번지 고양송산중학교,경기도 고양시 일산서구 가좌2로 15,10210,37.6877111553,126.7223308725
고양시,중학교,공립,능곡중학교,031-930-3513,경기도 고양시 덕양구 토당동 394번지,경기도 고양시 덕양구 행당로11번길 48,10515,37.6225566102,126.8264247255
고양시,중학교,공립,대화중학교,031-914-0524,경기도 고양시 일산서구 대화동 2230번지,경기도 고양시 일산서구 고양대로 348,10382,37.6735992631,126.7447707556
고양시,고등학교,공립,백석고등학교,031-901-0506,경기도 고양시 일산동구 마두동 784번지 백석고등학교,경기도 고양시 일산동구 강촌로 115,10416,37.6524933188,126.7869643436
고양시,고등학교,공립,성사고등학교,031-960-9105,경기도 고양시 덕양구 성사동 624-3번지 성사고등학교,경기도 고양시 덕양구 호국로 869,10294,37.6627172310,126.8420945001
고양시,고등학교,공립,안곡고등학교,031-929-2826,경기도 고양시 일산동구 중산동 1718번지 안곡고등학교,경기도 고양시 일산동구 하늘마을로 75,10335,37.6820185592,126.7872869042
고양시,고등학교,공립,일산국제컨벤션고등학교,031-912-8034,경기도 고양시 일산서구 주엽동 41번지,경기도 고양시 일산서구 고봉로 133,10360,37.6726553930,126.7718758251
고양시,고등학교,공립,저동고등학교,031-917-0678,경기도 고양시 일산동구 정발산동 1208번지 저동고등학교,경기도 고양시 일산동구 무궁화로 165,10359,37.6709038402,126.7793167915
고양시,고등학교,공립,주엽고등학교,031-910-3800,경기도 고양시 일산서구 대화동 2168번지,경기도 고양시 일산서구 킨텍스로 341,10377,37.6757106055,126.7546025567
고양시,고등학교,공립,풍동고등학교,031-926-6000,경기도 고양시 일산동구 풍동 1231번지 풍동고등학교,경기도 고양시 일산동구 숲속마을로 119,10303,37.6715726720,126.7952627979
고양시,고등학교,공립,화수고등학교,031-960-4500,경기도 고양시 덕양구 화정동 854번지,경기도 고양시 덕양구 화수로 51,10473,37.6446624667,126.8360715097
고양시,고등학교,사립,고양예술고등학교,031-929-0704,경기도 고양시 일산서구 덕이동 753-11번지,경기도 고양시 일산서구 덕이로172번길 4-39,10228,37.6965153365,126.7427637811
고양시,고등학교,사립,백송고등학교,031-929-0600,경기도 고양시 일산서구 덕이동 753-11번지 백송고등학교,경기도 고양시 일산서구 덕이로172번길 4-39,10228,37.6965153365,126.7427637811
고양시,고등학교,공립,덕이고등학교,031-960-3600,경기도 고양시 일산서구 덕이동 1615번지 덕이고등학교,경기도 고양시 일산서구 하이파크1로 64,10236,37.6959559963,126.7549659254
고양시,고등학교,공립,도래울고등학교,031-968-9262,경기도 고양시 덕양구 도내동 1098번지,경기도 고양시 덕양구 도래울1로 67,10551,37.6283535268,126.8705343903
고양시,고등학교,공립,무원고등학교,031-930-0794,경기도 고양시 덕양구 행신동 977번지,경기도 고양시 덕양구 화신로 65,10518,37.6186903588,126.8381457114
고양시,고등학교,공립,백마고등학교,031-906-0865,경기도 고양시 일산동구 백석동 1138번지 백마고등학교,경기도 고양시 일산동구 백석로 155,10418,37.6516054860,126.7942645477
고양시,고등학교,공립,백신고등학교,031-931-1115,경기도 고양시 일산동구 백석동 1347번지 백신고등학교,경기도 고양시 일산동구 백석로 8,10448,37.6422754034,126.7816006925
고양시,고등학교,공립,서정고등학교,031-930-3909,경기도 고양시 덕양구 행신동 1065번지 서정고등학교,경기도 고양시 덕양구 서정마을2로 39,10491,37.6209668744,126.8493205224
고양시,고등학교,공립,신일비즈니스고등학교,031-929-2106,경기도 고양시 일산서구 일산동 1041번지,경기도 고양시 일산서구 킨텍스로 452,10372,37.6830411280,126.7616861137
고양시,고등학교,공립,일산고등학교,031-975-2489,경기도 고양시 일산서구 일산동 966-50번지 일산고등학교,경기도 고양시 일산서구 원일로 53,10348,37.6882972845,126.7679046101
고양시,고등학교,공립,일산동고등학교,031-915-0522,경기도 고양시 일산서구 탄현동 1471번지 일산동고등학교 탄현로100,경기도 고양시 일산서구 탄현로 100,10249,37.7003177705,126.7687397876
고양시,고등학교,공립,저현고등학교,031-960-1802,경기도 고양시 일산동구 식사동 1552번지,경기도 고양시 일산동구 위시티3로 37,10323,37.6777149795,126.8154232318
고양시,고등학교,공립,정발고등학교,031-904-2328,경기도 고양시 일산동구 마두동 894번지 정발고등학교,경기도 고양시 일산동구 정발산로 185,10407,37.6634380161,126.7858446279
고양시,고등학교,공립,중산고등학교,031-910-6500,경기도 고양시 일산동구 중산동 1554번지 중산고등학교,경기도 고양시 일산동구 중산로 290,10331,37.6970657518,126.7830140259
고양시,고등학교,공립,행신고등학교,031-974-6292,경기도 고양시 덕양구 행신동 790번지 행신고등학교,경기도 고양시 덕양구 소만로 36,10532,37.6160295669,126.8425688529
고양시,고등학교,공립,화정고등학교,031-930-0607,경기도 고양시 덕양구 화정동 938번지 화정고등학교,경기도 고양시 덕양구 화정로 17,10496,37.6358563329,126.8273449442
고양시,고등학교,사립,고양외국어고등학교,031-969-9072,경기도 고양시 덕양구 관산동 332번지,경기도 고양시 덕양구 통일로 820,10286,37.6902925450,126.8606173462
고양시,고등학교,사립,세원고등학교,031-965-1300,경기도 고양시 일산동구 풍동 195번지 세원고등학교,경기도 고양시 일산동구 숲속마을로 202,10305,37.6708833143,126.8030176268
고양시,고등학교,사립,일산대진고등학교,031-994-2364,경기도 고양시 일산서구 대화동 2097번지 일산대진고등학교,경기도 고양시 일산서구 대산로 246,10367,37.6804350654,126.7519568362
고양시,초등학교,공립,백신초등학교,031-904-2054,경기도 고양시 일산동구 백석동 1428번지 백신초등학교,경기도 고양시 일산동구 강촌로26번길 66,10424,37.6439689189,126.7814370411
고양시,초등학교,공립,백양초등학교,031-971-0093,경기도 고양시 덕양구 화정동 990번지,경기도 고양시 덕양구 화신로 238,10499,37.6318866109,126.8360094403
고양시,초등학교,공립,벽제초등학교,031-962-8011,경기도 고양시 일산동구 사리현동 122-2번지 벽제초등학교,경기도 고양시 일산동구 공릉천로 13,10260,37.6957392777,126.8433384770
고양시,초등학교,공립,삼송초등학교,031-966-7963,경기도 고양시 덕양구 원흥동 675번지,경기도 고양시 덕양구 세솔로 150,10557,37.6539897601,126.8823082882
고양시,초등학교,공립,서정초등학교,031-979-7505,경기도 고양시 덕양구 행신동 1097번지 서정초등학교,경기도 고양시 덕양구 소원로 251,10534,37.6140825927,126.8486777694
고양시,초등학교,공립,성사초등학교,031-964-2217,경기도 고양시 덕양구 성사동 716번지 성사초등학교,경기도 고양시 덕양구 호국로834번길 89,10466,37.6575212424,126.8440095888
고양시,초등학교,공립,성신초등학교,031-973-2225,경기도 고양시 덕양구 행신동 929번지 성신초등학교,경기도 고양시 덕양구 성신로 104,10494,37.6264956093,126.8401788413
고양시,초등학교,공립,성저초등학교,031-915-0211,경기도 고양시 일산서구 대화동 2006번지 성저초등학교,경기도 고양시 일산서구 성저로 92,10369,37.6848787518,126.7571567871
고양시,초등학교,공립,신능초등학교,031-973-0084,경기도 고양시 덕양구 행신동 1005번지 신능초등학교,경기도 고양시 덕양구 충장로123번길 37,10513,37.6237169033,126.8312021884
고양시,초등학교,공립,신촌초등학교,031-912-2094,경기도 고양시 일산서구 일산동 1068번지,경기도 고양시 일산서구 후곡로 52,10374,37.6812385248,126.7657956652
고양시,초등학교,공립,안곡초등학교,031-976-1624,경기도 고양시 일산동구 중산동 161-3번지,경기도 고양시 일산동구 중산로 142,10334,37.6846571127,126.7817355947
고양시,초등학교,공립,오마초등학교,031-912-2122,경기도 고양시 일산서구 주엽동 33번지,경기도 고양시 일산서구 주엽로 214,10375,37.6767093398,126.7626587974
고양시,초등학교,공립,용두초등학교,02-387-1053,경기도 고양시 덕양구 용두동 14번지 용두초등학교,경기도 고양시 덕양구 용두로121번길 20,10549,37.6209436897,126.8931450663
고양시,초등학교,공립,원중초등학교,031-966-3003,경기도 고양시 일산동구 식사동 1571번지,경기도 고양시 일산동구 위시티3로 67,10324,37.6752711142,126.8140124638
고양시,초등학교,공립,일산은행초등학교,031-969-6734,경기도 고양시 일산동구 식사동 916번지 일산은행초등학교,경기도 고양시 일산동구 은행마을로 70,10304,37.6689880167,126.8064343560
고양시,초등학교,공립,장성초등학교,031-915-0273,경기도 고양시 일산서구 대화동 2210번지 장성초등학교,경기도 고양시 일산서구 일산로 738,10376,37.6777098898,126.7499595973
고양시,초등학교,공립,저동초등학교,031-914-0383,경기도 고양시 일산동구 정발산동 688번지 저동초등학교,경기도 고양시 일산동구 대산로11번길 37,10362,37.6678486198,126.7741235603
고양시,초등학교,공립,주엽초등학교,031-912-0034,경기도 고양시 일산서구 주엽동 100번지 주엽초등학교,경기도 고양시 일산서구 강선로 29,10385,37.6670761012,126.7617151178
고양시,초등학교,공립,중산초등학교,031-977-4193,경기도 고양시 일산동구 중산동 1575-3번지 중산초등학교,경기도 고양시 일산동구 탄중로 373,10332,37.6900393865,126.7836243254
고양시,초등학교,공립,지도초등학교,031-973-2168,경기도 고양시 덕양구 화정동 1132번지 지도초등학교,경기도 고양시 덕양구 성신로 49,10504,37.6279642171,126.8337865651
고양시,초등학교,공립,지축초등학교,02-381-7159,경기도 고양시 덕양구 지축동 654-1번지 지축초등학교,경기도 고양시 덕양구 지축초교길 45,10583,37.6517746917,126.9142787928
고양시,초등학교,공립,토당초등학교,031-972-9450,경기도 고양시 덕양구 토당동 409-12번지 토당초등학교,경기도 고양시 덕양구 행신로 90,10520,37.6169699148,126.8259848696
고양시,초등학교,공립,풍동초등학교,031-932-8737,경기도 고양시 일산동구 풍동 1266번지 풍동초등학교,경기도 고양시 일산동구 숲속마을로 14-43,10305,37.6692696315,126.8024552334
고양시,초등학교,공립,하늘초등학교,031-975-8972,경기도 고양시 일산동구 중산동 1799번지 하늘초등학교,경기도 고양시 일산동구 하늘마을1로 46,10311,37.6771583619,126.7900441870
고양시,초등학교,공립,한산초등학교,031-916-8451,경기도 고양시 일산서구 덕이동 1614번지 한산초등학교,경기도 고양시 일산서구 하이파크1로 56,10236,37.6960437984,126.7538771389
고양시,초등학교,공립,행남초등학교,031-970-0535,경기도 고양시 덕양구 행신동 789번지 행남초등학교,경기도 고양시 덕양구 소만로 22,10531,37.6148041682,126.8425148529
고양시,초등학교,공립,행신초등학교,031-978-8364,경기도 고양시 덕양구 행신동 983-1번지 행신초등학교,경기도 고양시 덕양구 중앙로 527,10518,37.6216076950,126.8368479755
고양시,초등학교,공립,현산초등학교,031-917-1406,경기도 고양시 일산서구 탄현동 1586번지,경기도 고양시 일산서구 산현로 87,10345,37.6923219442,126.7711232176
고양시,초등학교,공립,호수초등학교,031-904-6071,경기도 고양시 일산동구 장항동 880번지,경기도 고양시 일산동구 강촌로 27,10423,37.6468009793,126.7782672852
고양시,초등학교,공립,흥도초등학교,031-967-7934,경기도 고양시 덕양구 도내동 1100번지,경기도 고양시 덕양구 도래울1로 83,10551,37.6278593587,126.8717587052
고양시,중학교,공립,가람중학교,031-930-4821,경기도 고양시 덕양구 행신동 927번지 가람중학교,경기도 고양시 덕양구 화신로 122,10493,37.6232984881,126.8411486420
고양시,중학교,공립,고양중학교,02-350-1115,경기도 고양시 덕양구 삼송동 322번지,경기도 고양시 덕양구 동세로 82,10589,37.6494962930,126.8846498262
고양시,중학교,공립,대송중학교,031-910-1884,경기도 고양시 일산서구 대화동 1492-1번지,경기도 고양시 일산서구 송포로 49,10219,37.6706315424,126.7311568326
고양시,중학교,공립,덕이중학교,031-913-7861,경기도 고양시 일산서구 덕이동 1531번지 덕이중학교,경기도 고양시 일산서구 하이파크3로 122,10230,37.7025923192,126.7531862060
고양시,중학교,공립,목암중학교,031-960-0610,경기도 고양시 덕양구 고양동 723번지,경기도 고양시 덕양구 푸른마을로 65,10270,37.7137905730,126.9059712779
고양시,중학교,공립,무원중학교,031-974-9995,경기도 고양시 덕양구 행신동 695번지,경기도 고양시 덕양구 무원로 45,10521,37.6172739729,126.8305374117
고양시,중학교,공립,백마중학교,031-902-2813,경기도 고양시 일산동구 마두동 733번지,경기도 고양시 일산동구 강촌로 189,10417,37.6547934918,126.7934623741
고양시,중학교,공립,백양중학교,031-971-4004,경기도 고양시 덕양구 화정동 992번지 백양중학교,경기도 고양시 덕양구 화신로 236,10499,37.6309944110,126.8358415062
고양시,중학교,공립,서정중학교,031-970-1691,경기도 고양시 덕양구 행신동 1070번지,경기도 고양시 덕양구 서정마을로 22,10491,37.6183273812,126.8495977915
고양시,중학교,공립,성사중학교,031-967-2536,경기도 고양시 덕양구 성사동 549-4번지 성사중학교,경기도 고양시 덕양구 호국로 887,10294,37.6635202297,126.8429314507
고양시,중학교,공립,신능중학교,031-930-2823,경기도 고양시 덕양구 행신동 980번지,경기도 고양시 덕양구 충장로 78,10518,37.6195509176,126.8350402502
고양시,중학교,공립,신원중학교,02-381-0992,경기도 고양시 덕양구 신원동 605번지,경기도 고양시 덕양구 신원2로 6,10567,37.6673294788,126.8877044270
고양시,중학교,공립,신일중학교,031-912-4052,경기도 고양시 일산서구 일산동 1096번지,경기도 고양시 일산서구 고봉로 177,10356,37.6763543369,126.7744375135
고양시,중학교,공립,오마중학교,031-606-9113,경기도 고양시 일산서구 주엽동 4번지,경기도 고양시 일산서구 주엽로 213,10371,37.6772923002,126.7613533205
