시군명,시설구분명,공사립구분명,시설명,전화번호,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도
가평군,유치원,공립,목동초등학교병설유치원,031-581-0612,경기도 가평군 북면 이곡리 13-45번지 목동초등학교 병설유치원,경기도 가평군 북면 석장모루길 13,12407,37.8797004527,127.5486018306
고양시,어린이집,가정,나래빅스맘어린이집,031-914-9191,경기도 고양시 일산서구 가좌동 1086번지 가좌마을청원벽산블루밍6단지아파트 613동 104호,"경기도 고양시 일산서구 가좌2로 20 613동 104호(가좌동, 가좌마을청원벽산블루밍6단지아파트)",10211,37.6891249,126.7220307
고양시,어린이집,가정,나래사랑어린이집,031-913-7942,경기도 고양시 일산서구 일산동 600번지 일산현대홈타운3차아파트 305동 105호,"경기도 고양시 일산서구 일청로 45 305동 105호(일산동, 일산현대홈타운3차아파트)",10349,37.6882405,126.7711019
고양시,어린이집,민간,나래어린이집,031-923-7942,경기도 고양시 일산서구 일산동 600번지 현대홈타운3차 관리동내,경기도 고양시 일산서구 일청로 45 현대홈타운3차 관리동내,10349,37.6880160,126.7714880
고양시,어린이집,협동,나무를키우는햇살어린이집,031-967-5995,경기도 고양시 덕양구 대장동 240-2번지,경기도 고양시 덕양구 대주로 125-9,10456,37.6374383,126.8133151
고양시,어린이집,민간,나무아트어린이집,031-912-2200,"경기도 고양시 일산서구 덕이동 685번지 685,686","경기도 고양시 일산서구 장자길 120 685,686(덕이동)",10228,37.7010178,126.7417388
고양시,어린이집,민간,나무와새어린이집,031-915-5504,경기도 고양시 일산서구 대화동 2215번지 성저마을 3단지 풍림아파트 단지내,경기도 고양시 일산서구 강성로 270 성저마을 3단지 풍림아파트 단지내,10376,37.6781018,126.7478838
고양시,어린이집,직장,KT일산어린이집,031-925-0052,경기도 고양시 일산서구 대화동 2200번지 KT어린이집,경기도 고양시 일산서구 강성로 225 KT어린이집 (대화동),10380,37.6749290,126.7514312
고양시,어린이집,직장,SBS일산어린이집,031-917-5851,경기도 고양시 일산서구 탄현동 140번지 SBS일산제작센터 아카데미동 1층,"경기도 고양시 일산서구 일현로 111 (탄현동,SBS일산제작센터 아카데미동 1층)",10241,37.6961532,126.7632083
고양시,어린이집,가정,YWCA어린이집,031-912-0061,경기도 고양시 일산서구 주엽동 12번지 문촌마을동아8단지아파트 804동 104호,"경기도 고양시 일산서구 주엽로 161 804동 104호(주엽동, 문촌마을동아8단지아파트)",10378,37.6736350,126.7573185
고양시,어린이집,민간,가람어린이집,031-978-6114,경기도 고양시 덕양구 행신동 203-17번지,경기도 고양시 덕양구 행신로279번길 46 (행신동),10492,37.6206061,126.8423211
고양시,어린이집,가정,가온누리어린이집,031-812-7500,경기도 고양시 덕양구 행신동 958번지 햇빛마을24단지 2404동 102호,"경기도 고양시 덕양구 화신로 106 2404동 102호(행신동, 햇빛마을24단지)",10492,37.6210198,126.8417199
고양시,어린이집,민간,가좌국제어린이집,031-919-0785,경기도 고양시 일산서구 가좌동 1105번지 가좌마을7단지,경기도 고양시 일산서구 송포로 207 가좌마을 7단지내 (가좌동),10214,37.6837820,126.7219375
고양시,어린이집,민간,가좌블루밍아이 어린이집,031-925-3318,경기도 고양시 일산서구 가좌동 1088번지 가좌마을3단지아파트 3단지 내 관리동 1층,경기도 고양시 일산서구 가좌2로 53 3단지 내 관리동 1층,10210,37.6893242,126.7187194
고양시,어린이집,가정,감사24시어린이집,031-916-9916,경기도 고양시 일산서구 덕이동 1036-6번지 101호,경기도 고양시 일산서구 덕산로312번길 44 101호,10212,37.6949309,126.7352746
고양시,어린이집,가정,감성놀이위지니어린이집,031-916-9995,경기도 고양시 일산서구 일산동 2019번지 에이스11차아파트 201동 101호,"경기도 고양시 일산서구 탄중로 523 201동 101호(일산동, 에이스11차아파트)",10348,37.6896666,126.7678436
고양시,어린이집,가정,네버랜드어린이집,031-919-3339,경기도 고양시 일산서구 탄현동 1634번지 일산임광진흥아파트 103동 105호,"경기도 고양시 일산서구 탄현로 133 103동 105호(탄현동, 일산임광진흥아파트)",10239,37.7027617,126.7653982
고양시,어린이집,가정,네오어린이집,031-966-5633,경기도 고양시 덕양구 성사동 860번지 래미안휴레스트아파트 220동 101호,"경기도 고양시 덕양구 호국로 860 220동 101호(성사동, 래미안휴레스트아파트)",10467,37.6586471,126.8437692
고양시,어린이집,가정,노래하는어린이집,031-812-6843,경기도 고양시 일산서구 탄현동 1634번지 일산임광진흥아파트 102동 103호,"경기도 고양시 일산서구 탄현로 133 102동 103호(탄현동, 일산임광진흥아파트)",10239,37.7025199,126.7661361
고양시,어린이집,가정,노리아어린이집,031-938-5565,경기도 고양시 덕양구 화정동 948번지 별빛마을벽산9단지아파트 902동 103호,"경기도 고양시 덕양구 화신로 309 902동 103호(화정동, 별빛마을벽산9단지아파트)",10502,37.6308095,126.8264618
고양시,어린이집,가정,노리터어린이집,031-912-5923,경기도 고양시 일산서구 주엽동 65번지 강선마을삼환7단지아파트 708동 102호,"경기도 고양시 일산서구 강선로 71 708동 102호(주엽동, 강선마을삼환7단지아파트)",10388,37.6717825,126.7634114
고양시,어린이집,가정,노블아일랜드어린이집,070-7553-4227,경기도 고양시 일산서구 탄현동 1476번지 탄현마을동성8단지아파트 804동 102호,"경기도 고양시 일산서구 일현로 122 804동 102호(탄현동, 탄현마을동성8단지아파트)",10240,37.6992505,126.7666907
고양시,어린이집,가정,노블킨더어린이집,070-8793-4227,경기도 고양시 일산서구 탄현동 121번지 큰마을현대대림1단지아파트 109동 102호,"경기도 고양시 일산서구 일현로 140 109동 102호(탄현동, 큰마을현대대림1단지아파트)",10239,37.7000920,126.7640120
고양시,어린이집,가정,24시주안어린이집,031-812-7171,경기도 고양시 덕양구 화정동 870번지 은빛마을5단지아파트 561동 101호,"경기도 고양시 덕양구 화중로 164 561동 101호(화정동, 은빛마을5단지아파트)",10474,37.6416956,126.8342199
고양시,어린이집,가정,키즈랜드어린이집,031-973-2511,경기도 고양시 덕양구 행신동 767번지 무원마을5단지아파트 506동 102호,"경기도 고양시 덕양구 용현로 10 506동 102호(행신동, 무원마을5단지아파트)",10527,37.6141583,126.8380764
고양시,어린이집,직장,고양시청어린이집,031-965-7878,경기도 고양시 덕양구 주교동 588번지,경기도 고양시 덕양구 원당로59번길 50-16,10459,37.6598211,126.8328190
고양시,어린이집,가정,고운빛어린이집,031-921-0660,경기도 고양시 일산서구 탄현동 1485번지 탄현마을경남1단지아파트 103동 104호,"경기도 고양시 일산서구 일현로 68 103동 104호(탄현동, 탄현마을경남1단지아파트)",10243,37.6929336,126.7660985
고양시,어린이집,국공립,시립푸른하늘어린이집,031-976-3910,경기도 고양시 일산동구 중산동 1680번지 하늘마을1단지아파트 관리동 내,경기도 고양시 일산동구 중산로 101 하늘마을1단지아파트 관리동 내,10355,37.6804097,126.7797077
고양시,어린이집,국공립,시립풍산어린이집,031-932-6933,경기도 고양시 일산동구 풍동 1265번지 숲속마을4단지아파트,경기도 고양시 일산동구 숲속마을1로 86 (풍동),10305,37.6687989,126.8011757
고양시,어린이집,국공립,시립행신그린어린이집,031-978-5333,경기도 고양시 덕양구 행신동 747번지,경기도 고양시 덕양구 용현로 47 (행신동),10525,37.6169387,126.8355105
고양시,어린이집,가정,식사자이블루어린이집,031-967-9971,경기도 고양시 일산동구 식사동 1504번지 위시티일산자이4단지아파트 402동 104호,"경기도 고양시 일산동구 위시티4로 45 402동 104호(식사동, 위시티일산자이4단지아파트)",10323,37.6796216,126.8132986
고양시,어린이집,민간,식사푸른숲어린이집,031-965-2121,경기도 고양시 일산동구 식사동 1574-2번지,경기도 고양시 일산동구 위시티3로 77,10324,37.6743510,126.8133460
고양시,어린이집,민간,신임마누엘어린이집,031-969-8704,경기도 고양시 덕양구 고양동 239-9번지,경기도 고양시 덕양구 혜음로13번길 34 (고양동),10275,37.7019915,126.8996138
고양시,어린이집,직장,신한키즈 일산어린이집,031-906-5170,경기도 고양시 일산동구 장항동 781번지,경기도 고양시 일산동구 중앙로 1311,10401,37.6624623,126.7702640
고양시,어린이집,가정,써니맘어린이집,070-8231-8528,경기도 고양시 일산서구 일산동 1086번지 후곡마을16단지아파트 1606동 101호,"경기도 고양시 일산서구 강선로 141 1606동 101호(일산동, 후곡마을16단지아파트)",10375,37.6770597,126.7666591
고양시,어린이집,가정,쑥쑥어린이집,031-938-8556,경기도 고양시 덕양구 행신동 938번지 햇빛마을주공18단지아파트 1824동 103호,"경기도 고양시 덕양구 중앙로558번길 57 1824동 103호(행신동, 햇빛마을주공18단지아파트)",10494,37.6261134,126.8375062
고양시,어린이집,가정,아기사랑어린이집,031-811-2116,경기도 고양시 일산서구 주엽동 84번지 강선마을보성15단지아파트 1509동 102호,"경기도 고양시 일산서구 강선로 30 1509동 102호(주엽동, 강선마을보성15단지아파트)",10365,37.6668537,126.7631325
고양시,어린이집,가정,키즈하모니어린이집,031-907-7122,경기도 고양시 일산동구 풍동 1238번지,경기도 고양시 일산동구 숲속마을2로 78 (풍동),10303,37.6738798,126.8008445
고양시,어린이집,가정,대화꼬마별어린이집,031-916-4560,경기도 고양시 일산서구 대화동 2071-2번지,경기도 고양시 일산서구 성저로70번길 9-8 (대화동),10368,37.6845955,126.7552984
고양시,어린이집,가정,대화동뽀로롱어린이집,031-919-2161,경기도 고양시 일산서구 대화동 2050-12번지,경기도 고양시 일산서구 성저로46번길 46,10368,37.6836851,126.7550747
고양시,어린이집,민간,대화아람어린이집,031-915-0585,경기도 고양시 일산서구 대화동 841-8번지,경기도 고양시 일산서구 대화로156번길 36,10222,37.6701024,126.7361912
고양시,어린이집,민간,대화예솔어린이집,031-924-1887,경기도 고양시 일산서구 대화동 2570번지 대화마을6단지내,"경기도 고양시 일산서구 대화2로 137 (대화동, 대화마을6단지내)",10217,37.6737693,126.7361895
고양시,어린이집,가정,대화피터팬어린이집,031-922-5552,경기도 고양시 일산서구 대화동 2276-8번지,경기도 고양시 일산서구 일산로803번길 39,10383,37.6713745,126.7492443
고양시,어린이집,가정,더사랑어린이집,031-817-7377,경기도 고양시 덕양구 행신동 702번지 무원마을6단지아파트 609동 103호,"경기도 고양시 덕양구 소원로 47 609동 103호(행신동, 무원마을6단지아파트)",10522,37.6134193,126.8315996
고양시,어린이집,민간,더채움어린이집,031-968-7959,경기도 고양시 덕양구 원흥동 670번지 삼송마을15단지 계룡리슈빌,경기도 고양시 덕양구 동세로 125 삼송마을15단지 계룡리슈빌,10558,37.6520511,126.8808156
고양시,어린이집,민간,덕이아이키즈어린이집,031-922-3002,경기도 고양시 일산서구 덕이동 1540번지 덕이동 아이파크5단지내,경기도 고양시 일산서구 하이파크3로 62 덕이동 아이파크5단지내,10234,37.6972069,126.7543267
고양시,어린이집,협동,도깨비어린이집,031-969-3412,경기도 고양시 덕양구 원흥동 202-7번지,경기도 고양시 덕양구 고양대로1730번길 77-62 (원흥동),10552,37.6431931,126.8710632
고양시,어린이집,가정,키즈마을어린이집,031-819-0079,경기도 고양시 일산동구 풍동 174번지 은행마을1단지아파트 108동 105호,"경기도 고양시 일산동구 은행마을로 16 108동 105호(풍동, 은행마을1단지아파트)",10304,37.6644719,126.8051315
고양시,어린이집,가정,키즈봉봉어린이집,031-925-8440,경기도 고양시 일산서구 탄현동 1650번지 일산에듀포레푸르지오 106동 102호,"경기도 고양시 일산서구 탄현로 136 106동 102호(탄현동,일산에듀포레푸르지오)",10248,37.7031780,126.7663721
고양시,어린이집,가정,키즈브레인어린이집,031-814-0520,경기도 고양시 덕양구 토당동 352번지 현대홈타운1차아파트 102동 104호,"경기도 고양시 덕양구 능곡로 30-12 102동 104호(토당동, 현대홈타운1차아파트)",10510,37.6215683,126.8223492
고양시,어린이집,가정,키즈빌리지어린이집,02-6339-7998,경기도 고양시 덕양구 삼송동 306번지 삼송마을동원로얄듀크 1705동 101호,"경기도 고양시 덕양구 세솔로 105 1705동 101호(삼송동,삼송마을동원로얄듀크)",10557,37.6531648,126.8862304
고양시,어린이집,민간,키즈아트어린이집,031-923-5566,경기도 고양시 일산서구 덕이동 1524번지 하이파크시티일산아이파크1단지,경기도 고양시 일산서구 하이파크로 113,10230,37.7034837,126.7529564
고양시,어린이집,가정,풍림어린이집,031-973-2812,경기도 고양시 덕양구 토당동 60번지 풍림아이원아파트 201동 103호,"경기도 고양시 덕양구 지도로103번길 61 201동 103호(토당동, 풍림아이원아파트)",10508,37.6252854,126.8198028
고양시,어린이집,가정,피앤피어린이집,031-938-5953,경기도 고양시 덕양구 토당동 53-44번지 능곡현대홈타운2차아파트 204동 104호,"경기도 고양시 덕양구 능곡로13번길 16 204동 104호(토당동, 능곡현대홈타운2차아파트)",10508,37.6228103,126.8214627
고양시,어린이집,가정,피엘어린이집,031-917-5955,경기도 고양시 일산서구 일산동 1066번지 후곡마을금호4단지아파트 401동 104호,"경기도 고양시 일산서구 후곡로 36 401동 104호(일산동, 후곡마을금호4단지아파트)",10374,37.6806334,126.7650947
고양시,어린이집,가정,하나린어린이집,031-938-0700,경기도 고양시 덕양구 행신동 983번지 샘터마을2단지 223동 102호,"경기도 고양시 덕양구 충장로 118-30 223동 102호(행신동, 샘터마을2단지)",10518,37.6208969,126.8375971
고양시,어린이집,가정,하늘꿈나무어린이집,031-818-9150,경기도 고양시 일산동구 중산동 1800번지 하늘마을주공휴먼시아5단지아파트 509동 106호,"경기도 고양시 일산동구 하늘마을1로 23 509동 106호(중산동, 하늘마을주공휴먼시아5단지아파트)",10311,37.6782181,126.7882047
고양시,어린이집,가정,하늘별어린이집,031-970-8842,경기도 고양시 덕양구 행신동 1088번지 서정마을5단지아파트 502동 101호,"경기도 고양시 덕양구 충경로 156 502동 101호(행신동, 서정마을5단지아파트)",10533,37.6163157,126.8476990
고양시,어린이집,가정,하늘샘어린이집,031-811-1180,경기도 고양시 일산서구 일산동 1655번지 일산휴먼빌아파트 103동 101호,"경기도 고양시 일산서구 원일로21번길 22 103동 101호(일산동, 일산휴먼빌아파트)",10348,37.6885013,126.7663507
고양시,어린이집,민간,탄현동신어린이집,031-922-7959,경기도 고양시 일산서구 탄현동 1578번지 탄현마을11단지 탄현마을11단지아파트,"경기도 고양시 일산서구 산현로17번길 38 탄현마을11단지 관리동(탄현동, 탄현마을11단지아파트)",10344,37.6913451,126.7647090
고양시,어린이집,민간,탄현우리어린이집,031-914-3339,경기도 고양시 일산서구 탄현동 1491-3번지,경기도 고양시 일산서구 홀트로 62 (탄현동),10244,37.6947098,126.7713198
고양시,어린이집,가정,탄현해오름어린이집,031-921-0555,경기도 고양시 일산서구 탄현동 1479번지 탄현마을한신6단지아파트 607동 101호,"경기도 고양시 일산서구 현중로 62 607동 101호(탄현동, 탄현마을한신6단지아파트)",10240,37.6964984,126.7691259
고양시,어린이집,가정,태양이키우는아이어린이집,070-4098-3942,경기도 고양시 일산동구 백석동 1135번지 백송마을벽산대우6단지아파트 606동 103호,"경기도 고양시 일산동구 강촌로 190 606동 103호(백석동, 백송마을벽산대우6단지아파트)",10418,37.6540734,126.7938950
고양시,어린이집,가정,태영아이 어린이집,070-8727-0313,경기도 고양시 일산서구 덕이동 1521번지 태영아파트 104동 101호,"경기도 고양시 일산서구 탄중로101번길 36 104동 101호(덕이동, 태영아파트)",10233,37.6946106,126.7578730
고양시,어린이집,가정,도담영아어린이집,031-811-2146,경기도 고양시 덕양구 행신동 953번지 햇빛마을23단지아파트 2315동 102호,"경기도 고양시 덕양구 화신로 105 2315동 102호(행신동, 햇빛마을23단지아파트)",10494,37.6233768,126.8391435
고양시,어린이집,민간,도래울어린이집,031-966-9656,경기도 고양시 덕양구 도내동 1011번지 원흥도래을마을4단지,경기도 고양시 덕양구 도래울3로 33 원흥도래을마을4단지내,10551,37.6312213,126.8730102
고양시,어린이집,가정,도래울영아어린이집,031-818-2260,경기도 고양시 덕양구 도내동 1103번지 원흥도래울마을 616동 101호,"경기도 고양시 덕양구 도래울로 16 616동 101호(도내동,원흥도래울마을)",10551,37.6274689,126.8690972
고양시,어린이집,가정,동구꼬마숲어린이집,031-932-4000,경기도 고양시 일산동구 장항동 883번지 호수마을청구5단지아파트 501동 103호,"경기도 고양시 일산동구 노루목로 99 501동 103호(장항동, 호수마을청구5단지아파트)",10413,37.6507894,126.7767934
고양시,어린이집,직장,동국대일산병원직장어린이집,031-903-6111,경기도 고양시 일산동구 풍동 655-29번지,경기도 고양시 일산동구 무궁화로 260,10301,37.6735979,126.7891815
고양시,어린이집,가정,동문숲 어린이집,031-969-9004,경기도 고양시 덕양구 성사동 719번지 신원당마을동문1단지아파트 101동 103호,"경기도 고양시 덕양구 고양대로1384번길 19-23 101동 103호(성사동, 신원당마을동문1단지아파트)",10468,37.6534695,126.8393607
고양시,어린이집,가정,동문아름다운어린이집,031-915-4198,경기도 고양시 일산서구 덕이동 676-1번지 동문3차아파트 303동 101호,"경기도 고양시 일산서구 장자길118번길 27 303동 101호(덕이동,동문3차아파트)",10228,37.7028562,126.7419251
고양시,어린이집,민간,동문어린이집,031-918-8902,경기도 고양시 일산서구 일산동 1694번지 동문1차단지 내 동문어린이집,경기도 고양시 일산서구 산현로 28 동문1차 단지내 동문어린이집,10348,37.6892933,126.7659060
고양시,어린이집,가정,ABC키즈스쿨어린이집,031-813-6003,경기도 고양시 일산서구 일산동 1655번지 일신건영휴먼빌1차아파트 106동 103호,"경기도 고양시 일산서구 원일로21번길 22 106동 103호(일산동, 일신건영휴먼빌1차아파트)",10348,37.6879134,126.7651848
고양시,어린이집,가정,HAPPY KID'S CLUB어린이집,031-911-6838,경기도 고양시 일산동구 정발산동 1254-9번지,경기도 고양시 일산동구 산두로201번길 5-15,10358,37.6741259,126.7823449
