시군명,사업장명,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,폐업일자,소재지시설전화번호,소재지면적정보,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값,문화체육업종명,공사립구분명,보험가입여부코드
가평군,쭌당구클럽,20111129,,13,영업중,,,,12418,경기도 가평군 가평읍 연인1길 11,경기도 가평군 가평읍 읍내리 482-7 ,477805,37.8290761545,127.5126476562,,245064.361687513    ,480847.441184952    ,당구장업,사립,
가평군,핸드타임 당구장,20130307,,13,영업중,,031-584-5973,,12437,"경기도 가평군 조종면 조종새싹로4번길 12-3, 2층",경기도 가평군 조종면 현리 263-11번지 ,12437,37.8186773804,127.3496519826,,230785.33482700000  ,479943.38505600000  ,당구장업,사립,
가평군,에이스당구클럽,20101207,,13,영업중,,,,12438,"경기도 가평군 조종면 조종희망로 14, 엄마손해장국",경기도 가평군 조종면 현리 410-25 엄마손해장국 ,12438,37.8181838675,127.3502505718,,230838.87742100000  ,479877.38016700000  ,당구장업,사립,
가평군,중앙당구클럽,20040414,,13,영업중,,031-585-3634,,12437,경기도 가평군 조종면 조종새싹로4번길 21,경기도 가평군 조종면 현리 260-1번지 ,12437,37.8192338471,127.3503700939,,230858.51564300000  ,480020.19176900000  ,당구장업,사립,
가평군,우리당구장,20090106,,13,영업중,,031-585-5237,,12453,경기도 가평군 청평면 강변로 45-13,경기도 가평군 청평면 청평리 80-2 ,477813,37.7345531709,127.4174468139,,236725.130268993    ,470310.207050445    ,당구장업,사립,
가평군,형제당구장,20090707,,13,영업중,,031-581-9855,,12418,경기도 가평군 가평읍 보납로18번길 12,경기도 가평군 가평읍 읍내리 461-21번지 ,477805,37.8298692249,127.5126019685,,245065.122177305    ,480943.729135813    ,당구장업,사립,
가평군,킹당구장,20010129,,13,영업중,,031-585-6223,,12437,"경기도 가평군 조종면 조종희망로5번길 5, 홀릭,까까홀릭,예광족발보쌈","경기도 가평군 조종면 현리 264-38 홀릭,까까홀릭,예광족발보쌈 ",12437,37.8186870519,127.3490338276,,230733.62642000000  ,479933.62916600000  ,당구장업,사립,
가평군,79클럽 당구장,20150417,,13,영업중,,,,12467,경기도 가평군 설악면 신천중앙로 79,경기도 가평군 설악면 신천리 407-13 ,477853,37.6758599130,127.4936155344,,243477.49826407     ,463821.534081532    ,당구장업,사립,
가평군,호명당구장,20080325,,13,영업중,,031-584-2400,,12452,경기도 가평군 청평면 잠곡로 41-1,경기도 가평군 청평면 청평리 357-32 ,477813,37.7374865145,127.4234020586,,237248.486021854    ,470644.449360112    ,당구장업,사립,
가평군,봉 당구 클럽,20180412,,13,영업중,,,,12438,"경기도 가평군 조종면 현창로 26, 청연빌딩 2층",경기도 가평군 조종면 현리 410-44 ,12438,37.8171729449,127.3491164431,,230669.032172655    ,479459.470507812    ,당구장업,사립,
가평군,베스트당구장,20120523,,13,영업중,,031-581-6577,,12403,경기도 가평군 북면 화악산로 18,경기도 가평군 북면 목동리 886-18 ,477842,37.8866509156,127.5502659778,,248335.711055832    ,487256.429147567    ,당구장업,사립,
가평군,늘벗당구장,19931204,,03,폐업,20060807,584-6070,,477815,경기도 가평군 청평면 잠곡로 16-1,경기도 가평군 청평면 청평리 413-12번지,477813,37.7367409,127.4204798,,236998.791703228,470566.94682102,당구장업,사립,
가평군,설악당구장,20060713,,03,폐업,20111227,584-5569,,477853,경기도 가평군 설악면 신천중앙로 114-1,경기도 가평군 설악면 신천리 435-22번지,477853,37.6778083,127.4911444,,243261.590971044,464054.883723932,당구장업,사립,
가평군,VIP당구장,20080825,,03,폐업,20090703,,,477805,경기도 가평군 가평읍 보납로18번길 12,경기도 가평군 가평읍 읍내리 461-21번지,477801,37.8298692,127.5126019,,245065.122177305,480943.729135813,당구장업,사립,
가평군,VIP당구장,20110725,,03,폐업,20190320,031-584-4329,,12467,경기도 가평군 설악면 신천중앙로 129,경기도 가평군 설악면 신천리 458-4번지 ,477853,37.6777791,127.4895005,,243116.885553654    ,464049.864542179    ,당구장업,사립,
가평군,목동당구장,20091110,,03,폐업,20100224,031-582-7770,,477842,경기도 가평군 북면 화악산로11번길 8,경기도 가평군 북면 목동리 897번지 외1필지 2층,477842,37.8870317,127.5490765,,248236.907677729,487304.910340702,당구장업,사립,
가평군,페밀리당구장,20070412,,03,폐업,20140507,,,477853,경기도 가평군 설악면 신천중앙로 93,경기도 가평군 설악면 신천리 410-2번지,477853,37.6764772,127.4927793,,243408.378317244,463909.123803665,당구장업,사립,
가평군,팰리스당구장,20151111,,03,폐업,20200130,,,12420,경기도 가평군 가평읍 오리나무길 22 (천안상회),경기도 가평군 가평읍 대곡리 240-10번지 ,12420,37.8255127762,127.5137418964,,245165.893004947    ,480460.881450298    ,당구장업,사립,
가평군,청평풍림당구장,20010228,,03,폐업,20150429,031-584-9380,,477821,경기도 가평군 상면 청군로 430,경기도 가평군 상면 덕현리 402-10번지,477821,37.7598549,127.3955416,,234790.352152881,473121.757310053,당구장업,사립,
가평군,때려당구장,19950714,,03,폐업,20131219,584-8777,,477815,경기도 가평군 청평면 잠곡로 10,경기도 가평군 청평면 청평리 414-2번지,477813,37.7367437,127.4196970,,236932.214261632,470566.535183515,당구장업,사립,
가평군,당구마을,20050509,,03,폐업,20141105,031-581-0974,,477801,경기도 가평군 가평읍 가화로 132,경기도 가평군 가평읍 읍내리 446-5번지,477801,37.8313177,127.5130549,,245102.697306295,481102.990597353,당구장업,사립,
가평군,포커스,20080707,,03,폐업,20090309,585-0229,,477853,경기도 가평군 설악면 신천중앙로 78,경기도 가평군 설악면 신천리 158-2번지,477853,37.6754441,127.4942008,,243533.263673151,463792.86162264,당구장업,사립,
가평군,VIP당구장,20081128,,03,폐업,20110721,584-8303,,477853,경기도 가평군 설악면 신천중앙로 129,경기도 가평군 설악면 신천리 458-4번지,477853,37.6777791,127.4895005,,243116.885553654,464049.864542179,당구장업,사립,
가평군,당구야놀자,20071217,,03,폐업,20150504,581-3469,,477801,경기도 가평군 가평읍 가화로 132,경기도 가평군 가평읍 읍내리 446-5번지,477801,37.8313177,127.5130549,,245102.697306295,481102.990597353,당구장업,사립,
가평군,목동당구장,20070430,,03,폐업,20090223,581-7770,,477842,경기도 가평군 북면 화악산로11번길 8,경기도 가평군 북면 목동리 897번지 외1필지,477842,37.8870317,127.5490765,,248236.907677729,487304.910340702,당구장업,사립,
가평군,희망당구장,20030417,,03,폐업,20101020,585-0734,,477834,경기도 가평군 하면 조종새싹로4번길 14,경기도 가평군 하면 현리 263-19번지,477831,37.8188752,127.3497664,,230798.77612600000,479962.35689900000,당구장업,사립,
가평군,목동당구장,20111028,,03,폐업,20140318,,,477842,경기도 가평군 북면 화악산로11번길 8,경기도 가평군 북면 목동리 897번지,477842,37.8870317,127.5490765,,248236.907677729,487304.910340702,당구장업,사립,
가평군,팰리스빌리아드클럽,20030204,,03,폐업,20150429,,,477804,경기도 가평군 가평읍 오리나무길 22,경기도 가평군 가평읍 대곡리 240-10번지,477804,37.8255127,127.5137418,,245165.893004947,480460.881450298,당구장업,사립,
가평군,컨트리당구장,20030417,,03,폐업,20150303,581-9100,,477814,경기도 가평군 청평면 경춘로 1458,경기도 가평군 청평면 상천리 258번지,477814,37.7792350,127.4648859,,240892.200448761,475301.56596154,당구장업,사립,
가평군,VIP당구클럽,20130225,,03,폐업,20200915,,,12452,경기도 가평군 청평면 청평중앙로 51,경기도 가평군 청평면 청평리 465-8 ,477815,37.7382233121,127.4199510089,,236941.124656766    ,470728.930654878    ,당구장업,사립,
가평군,스페이스당구장,20051115,,03,폐업,20061215,584-6151,,477815,경기도 가평군 청평면 경춘로 807-11,경기도 가평군 청평면 청평리 445-3,477813,37.7377714,127.4169460,,236685.159494236,470682.541552787,당구장업,사립,
가평군,네오당구장,20100809,,03,폐업,20120919,584-9915,,477815,경기도 가평군 청평면 경춘로 871,경기도 가평군 청평면 청평리 301-4번지 네오오피스텔 201호,477815,37.7413548,127.4227294,,237196.25026367,471079.448196032,당구장업,사립,
가평군,VIP당구장,20110518,,03,폐업,20130130,,,477815,경기도 가평군 청평면 청평중앙로 51,경기도 가평군 청평면 청평리 465-8번지,477815,37.7382118,127.4198074,,236941.124656766,470728.930654878,당구장업,사립,
가평군,에쿠스당구장,20110125,,03,폐업,20140324,,,477805,경기도 가평군 가평읍 가화로 122,경기도 가평군 가평읍 읍내리 471-2번지,477805,37.8305135,127.5136059,,245150.711791185,481014.865839696,당구장업,사립,
가평군,청평당구장,20150406,,03,폐업,20160328,031-585-7859,,12453,경기도 가평군 청평면 잠곡로 10,경기도 가평군 청평면 청평리 414-2번지,477815,37.7367437,127.4196970,,236932.214261632,470566.535183515,당구장업,사립,
가평군,에쿠스당구장,20021227,,03,폐업,20101227,,,477805,경기도 가평군 가평읍 가화로 122,경기도 가평군 가평읍 읍내리 471-2번지,477801,37.8305135,127.5136059,,245150.711791185,481014.865839696,당구장업,사립,
가평군,한일당구장,19891227,,03,폐업,20101105,585-3590,,477815,경기도 가평군 청평면 청평중앙로72번길 24-5,경기도 가평군 청평면 청평리 388-16번지,477813,37.7374636,127.4224805,,237183.961385252,470648.364246707,당구장업,사립,
가평군,명동당구장,19981208,,03,폐업,20051028,582-8280,,477804,경기도 가평군 가평읍 오리나무길 30-1,경기도 가평군 가평읍 대곡리 164-10번지,477804,37.8248734,127.5136579,,245160.694027569,480388.292792897,당구장업,사립,
가평군,한게임당구장,20120501,,03,폐업,20200129,,,12437,경기도 가평군 하면 현창로38번길 6,경기도 가평군 하면 현리 265-6번지 2층 ,477834,37.8185359363,127.3487313905,,230712.93910400000  ,479923.68457000000  ,당구장업,사립,
가평군,당구이야기,20150331,,03,폐업,20151119,582-0600,,12412,경기도 가평군 가평읍 정간내로 23-19,경기도 가평군 가평읍 읍내리 423-6번지,477801,37.8315928,127.5161010,,245371.338910168,481134.971932215,당구장업,사립,
가평군,올리브 당구장,20120111,,03,폐업,20130412,031-584-0945,,477853,경기도 가평군 설악면 신천중앙로 151,경기도 가평군 설악면 신천리 574-10번지,477853,37.6773113,127.4871397,,242908.775187832,463998.172690031,당구장업,사립,
가평군,구슬동아리,20020307,,03,폐업,20050916,582-2868,,,,경기도 가평군 가평읍 대곡리 179-12번지,477804,37.8227084,127.5143018,,,,당구장업,사립,N
가평군,운악당구클럽,20070626,,03,폐업,20151224,584-5678,,12437,경기도 가평군 하면 현창로38번길 19,경기도 가평군 하면 현리 262-62번지,477831,37.8198410,127.3491463,,230744.71295300000,480066.25312500000,당구장업,사립,
가평군,큐당구장,20030920,,03,폐업,20050505,584-1711,,477853,경기도 가평군 설악면 신천중앙로 106-1,경기도 가평군 설악면 신천리 413-2번지,477853,37.6775883,127.4920611,,243344.093415792,464029.20708593,당구장업,사립,
가평군,21세기당구장,20030213,,03,폐업,20041216,584-8113,,477853,경기도 가평군 설악면 신천중앙로 91-1,경기도 가평군 설악면 신천리 408-3번지,477853,37.6765032,127.4930062,,243427.132812975,463910.83943922,당구장업,사립,
가평군,OK당구장,20080506,,02,휴업,,031-585-5800,,12451,경기도 가평군 청평면 경춘로 807-15,경기도 가평군 청평면 청평리 445-66번지 ,477813,37.7380512477,127.4168114686,,236675.656965774    ,470709.230428064    ,당구장업,사립,
고양시,신용산 당구장,20090422,20160105,32,신고취소,,,,,"경기도 고양시 일산동구 백석로86번길 6-5, B01호 (백석동)",경기도 고양시 일산동구 백석동 1254-1번지 B01호,410816,37.6472683,126.7873194,,181164.97,460574.855,당구장업,사립,
고양시,동아당구장,20171106,,13,영업중,,,,10507,"경기도 고양시 덕양구 토당로168번길 10, 3층 (토당동)",경기도 고양시 덕양구 토당동 831-3번지 동아1빌딩,10507,37.6278822,126.8210652,,184139.914054931,458416.81829407,당구장업,사립,
고양시,약속,20070529,,13,영업중,,,,412827,"경기도 고양시 덕양구 화신로272번길 48, 601~604호 (화정동, 유퍼스트빌딩)",경기도 고양시 덕양구 화정동 981-1번지 유퍼스트 빌딩 601~604,412827,37.6328538,126.8319288,,185099.23360791,458968.770357041,당구장업,사립,
고양시,당큐,20140620,,13,영업중,,,,10364,"경기도 고양시 일산동구 무궁화로 31-13, 403,404호 (장항동, 로데오휠)",경기도 고양시 일산동구 장항동 735-1 로데오휠 403호,410837,37.6630645966,126.7671159090,,179382.84           ,462322.8            ,당구장업,사립,
고양시,SKY당구클럽,20090401,,13,영업중,,031-976-9491,,10353,"경기도 고양시 일산서구 일중로 17, 204호, 205호 (일산동, 포오스프라자)","경기도 고양시 일산서구 일산동 524-16 포오스프라자 204호,205호 ",10353,37.6813421054,126.7741941934,,180012.49439871     ,464352.996642354    ,당구장업,사립,
고양시,프로당구장,20200921,,13,영업중,,,,10500,"경기도 고양시 덕양구 화신로260번길 36, 뉴밀레니엄타워 3층 301호 (화정동)",경기도 고양시 덕양구 화정동 977 뉴밀레니엄타워 301호,10500,37.6321529083,126.8330845918,,185196.986951486    ,458879.234917578    ,당구장업,사립,
고양시,퍼플 당구장,20041210,,13,영업중,,963-4183,,10345,"경기도 고양시 일산서구 탄현로6번길 24-29, 1층 (탄현동)",경기도 고양시 일산서구 탄현동 1598-4번지 1층 ,10345,37.6927595914,126.7752965605,,180114.158285356    ,465616.794674927    ,당구장업,사립,
고양시,미팅당구클럽,20200701,,13,영업중,,,,10507,"경기도 고양시 덕양구 토당로 130, 허스프라자 2층 1호 (토당동)",경기도 고양시 덕양구 토당동 251-16 허스프라자 2층 1호,10507,37.6264247820,126.8180749905,,183879.454624704    ,458252.484993714    ,당구장업,사립,
고양시,오당구장,20190319,,13,영업중,,,,10571,"경기도 고양시 덕양구 권율대로 896-12, 유아프라자 401, 402호 (신원동)",경기도 고양시 덕양구 신원동 634-1번지 유아프라자 ,10571,37.6628003,126.8905901,,190281.566948982    ,462281.492100652    ,당구장업,사립,
고양시,CF당구장,20160616,,13,영업중,,,,10526,"경기도 고양시 덕양구 충장로 14, 글로리아프라자 501호 (행신동)",경기도 고양시 덕양구 행신동 762번지 글로리아프라자 501호,10526,37.6139459,126.8344299,,185316.562388048    ,456868.289991954    ,당구장업,사립,
고양시,제우스 당구장,20080324,,13,영업중,,,,10340,"경기도 고양시 일산서구 원일로 126, 403,404호 (일산동, 원플라자)","경기도 고양시 일산서구 일산동 1680-1번지 원플라자 403, 404호",10340,37.6847900,126.7758174,,180160.362233455,464742.792583191,당구장업,사립,
고양시,프로당구장,20191001,,13,영업중,,,,10364,"경기도 고양시 일산동구 무궁화로 31-1, 텐폴드프라자 403,404호 (장항동)",경기도 고양시 일산동구 장항동 735-3번지 텐폴드프라자 403~4호,10364,37.6626547821,126.7673734567,,179410.005005846    ,462287.585725076    ,당구장업,사립,
고양시,동화,19970220,,13,영업중,,,,412826,"경기도 고양시 덕양구 화중로 128 (화정동, 고양프라자 402호, 403호)","경기도 고양시 덕양구 화정동 902번지 402호, 403호 ",412826,37.6385104000,126.8320416856,,185099.512271909    ,459585.157360964    ,당구장업,사립,N
고양시,벙커당구장,20200527,,13,영업중,,,,10338,"경기도 고양시 일산동구 고봉로 278, 성창빌딩 5층 (중산동)",경기도 고양시 일산동구 중산동 1662-8 성창빌딩 ,10338,37.6840972354,126.7781254115,,180360.158467465    ,464656.177299093    ,당구장업,사립,
고양시,마두당구장,20190507,,13,영업중,,,,10414,"경기도 고양시 일산동구 중앙로 1160, 오원프라자 308호 (마두동)",경기도 고양시 일산동구 마두동 805-1번지 ,10414,37.6510183,126.7787078,,180406.178896765    ,460993.993621196    ,당구장업,사립,
고양시,RK 당구클럽,20190613,,13,영업중,,,,10304,"경기도 고양시 일산동구 은행마을로6번길 30, 지층 (풍동)",경기도 고양시 일산동구 풍동 184-19번지 ,10304,37.6643556,126.8056192,,182784.23273263     ,462466.149924759    ,당구장업,사립,
고양시,옥빛당구장,20191224,,13,영업중,,,,10499,"경기도 고양시 덕양구 백양로 60, 옥빛마을13단지 상가동 지층 102~107호 (화정동)",경기도 고양시 덕양구 화정동 987번지 옥빛마을13단지 상가동 102호,10499,37.6313528339,126.8344586073,,185322.965730169    ,458800.318373777    ,당구장업,사립,Y
고양시,GG캐롬클럽,20200424,,13,영업중,,,,10447,"경기도 고양시 일산동구 중앙로 1048, 일산르메이에르프라자 318, 336, 341호 (백석동)",경기도 고양시 일산동구 백석동 1297-2번지 일산르메이에르프라자 ,10447,37.6436779525,126.7878568029,,181208.405917248    ,460164.302426648    ,당구장업,사립,
고양시,지존당구장,20190130,,13,영업중,,,,10486,"경기도 고양시 덕양구 행신로 268, 애담메디칼타워 701호 (행신동)",경기도 고양시 덕양구 행신동 1081-1번지 애담메디칼타워 701호,10486,37.6188885,126.8447374,,186226.57990149     ,457414.511376753    ,당구장업,사립,
고양시,7 당구장,20200429,,13,영업중,,,,10508,"경기도 고양시 덕양구 토당로 100, 서원빌딩 2층 (토당동)",경기도 고양시 덕양구 토당동 296-12번지 서원빌딩 2층 ,10508,37.6239811248,126.8178933381,,183855.656732364    ,457973.429321162    ,당구장업,사립,
고양시,빌킹당구클럽,20191007,,13,영업중,,,,10568,"경기도 고양시 덕양구 권율대로 885, 태웅PLAZA 701~702호 (신원동)",경기도 고양시 덕양구 신원동 621-3번지 태웅PLAZA 701호,10568,37.6632133517,126.8890368075,,190144.307370465    ,462328.705843318    ,당구장업,사립,
고양시,위너스 당구클럽,20191115,,13,영업중,,,,10401,"경기도 고양시 일산동구 호수로 646-24, 위너스21 II 403호 (장항동)",경기도 고양시 일산동구 장항동 756-2번지 위너스21 II 403호,10401,37.6596283225,126.7677683373,,179443.811344262    ,461950.576063425    ,당구장업,사립,
고양시,박찬영 당구클럽,20200401,,13,영업중,,,,10364,"경기도 고양시 일산동구 무궁화로 31-2, 풍성프라자 501, 502호 (장항동)",경기도 고양시 일산동구 장항동 734-2번지 풍성프라자 ,10364,37.6630160706,126.7678256537,,179449.749672525    ,462327.132044475    ,당구장업,사립,
고양시,임윤수 당구 아카데미,20200917,,13,영업중,,,,10414,"경기도 고양시 일산동구 강석로 149, 강촌프라자 601호 (마두동)",경기도 고양시 일산동구 마두동 799-2 강촌프라자 ,10414,37.6538462040,126.7776928360,,180314.15436224     ,461297.409800234    ,당구장업,사립,
고양시,하늘 당구장,20201119,,13,영업중,,031-914-6356,,10311,"경기도 고양시 일산동구 하늘마을1로 14, 일산 조은프라자 801호 (중산동)",경기도 고양시 일산동구 중산동 1813 일산 조은프라자1 ,10311,37.6750031677,126.7870585561,,181144.841327018    ,463644.897004219    ,당구장업,사립,
고양시,별모래 당구장,20201119,,13,영업중,,,,10464,"경기도 고양시 덕양구 고양대로1369번길 28, 201호 (성사동)",경기도 고양시 덕양구 성사동 702-10 201호,10464,37.6556466762,126.8371938527,,185564.905434783    ,461484.947144625    ,당구장업,사립,
고양시,올리브 당구장,20191121,,13,영업중,,031-905-5959,,10422,"경기도 고양시 일산동구 중앙로 1130, 제상가동 제에이2층 4,5호 (마두동, 강촌마을6단지아파트)",경기도 고양시 일산동구 마두동 806번지 강촌마을6단지아파트 ,10422,37.6496066705,126.7802078406,,180539.609005671    ,460835.850681465    ,당구장업,사립,
고양시,길훈 당구클럽,20201008,,13,영업중,,,,10319,"경기도 고양시 일산동구 성석로 24-2, 2층 (중산동)",경기도 고양시 일산동구 중산동 87-5 ,10319,37.6823779091,126.7903675670,,,,당구장업,사립,
고양시,덤보당구클럽ㆍ골프,20190410,,13,영업중,,0319113949,,10370,"경기도 고양시 일산서구 대산로 222, 5층 (대화동)",경기도 고양시 일산서구 대화동 2127번지 ,10370,37.6788180,126.7541841,,178251.271009103    ,464083.906428036    ,당구장업,사립,
고양시,대흥당구장,20190409,,13,영업중,,,,10265,"경기도 고양시 덕양구 고골길 6, 2층 202호 (관산동)",경기도 고양시 덕양구 관산동 685-30번지 2층 202호,10265,37.7085668480,126.8555586201,,187198.275879742    ,467368.795752489    ,당구장업,사립,
고양시,월드컵당구장,20060529,,13,영업중,,968-7902,,,"경기도 고양시 덕양구 원당로125번길 5  (주교동,3층)",경기도 고양시 덕양구 주교동 568-1번지 3층,412810,37.6626313,126.8386493,,185698.842774952,462270.911807766,당구장업,사립,N
고양시,SBS당구장,20150507,,13,영업중,,,,10508,"경기도 고양시 덕양구 토당로 100, 2층 (토당동)",경기도 고양시 덕양구 토당동 296-12번지 2층,412210,37.6238859,126.8178466,,183855.656732364,457973.429321162,당구장업,사립,
고양시,꿀당구,20090514,,13,영업중,,974-7001,,10486,"경기도 고양시 덕양구 서정마을1로 4-9, 3층 303,304호 (행신동, 미라클프라자)","경기도 고양시 덕양구 행신동 1080-3번지 행신택지지구 상업용지 8,9블럭 미라클프라자 303,304호",10486,37.6187452,126.8453720,,186300.305843771,457390.71559899,당구장업,사립,
고양시,칠층당구장,20161122,,13,영업중,,,,10564,경기도 고양시 덕양구 삼송로 8 (원흥동),경기도 고양시 덕양구 원흥동 629번지,10564,37.6496843,126.8749271,,188896.95594083,460830.916187383,당구장업,사립,
고양시,그랜드당구장,19951026,,13,영업중,,901-8570,,,"경기도 고양시 일산동구 중앙로 1172,  607호 (마두동,일산그랜드프라자빌딩)",경기도 고양시 일산동구 마두동 802-1 일산그랜드프라자빌딩 607호,410811,37.6517323785,126.7783934855,,180377.376839201    ,461063.025805119    ,당구장업,사립,
고양시,어썸당구클럽,20070726,,13,영업중,,031-932-7010,,,"경기도 고양시 일산동구 무궁화로 31-17 (장항동,엔담프라자 3층)",경기도 고양시 일산동구 장항동 735번지 엔담프라자 3층,410837,37.6631583,126.7669071,,179367.615547694,462342.42246612,당구장업,사립,
고양시,혜성,19961008,,13,영업중,,968-6072,,,경기도 고양시 덕양구 고양대로1369번길 28  (성사동),경기도 고양시 덕양구 성사동 702-10번지,412807,37.6555476,126.8371463,,185564.905434783,461484.947144625,당구장업,사립,N
고양시,준당구클럽,20050127,,13,영업중,,,,,"경기도 고양시 덕양구 충장로 122, 305호 (행신동,블레스타운)",경기도 고양시 덕양구 행신동 999-2번지 블레스타운 305호,412222,37.6234145,126.8339328,,185274.489902666,457918.732714533,당구장업,사립,N
고양시,3BILL,20030424,,13,영업중,,810-1263,,,,경기도 고양시 일산서구 덕이동 280-1번지 A동 지하1층,411808,37.6959589,126.7607145,,,,당구장업,사립,
고양시,일박이일당구클럽,20161124,,13,영업중,,,,10275,경기도 고양시 덕양구 벽제관로 15 (고양동),경기도 고양시 덕양구 고양동 216-1번지,10275,37.7034356,126.9024694,,191334.058831954,466793.03128631,당구장업,사립,
고양시,위시티24시 당구클럽,20150317,,13,영업중,,,,10325,"경기도 고양시 일산동구 위시티로 59, 206호 (식사동, 썬프라자)",경기도 고양시 일산동구 식사동 1525 썬프라자 206호,410821,37.6774861009,126.8105202821,,183222              ,463918              ,당구장업,사립,
고양시,당구이야기,20111011,,13,영업중,,031-972-1482,,,"경기도 고양시 덕양구 충경로 44, 801호 (행신동)",경기도 고양시 덕양구 행신동 761번지 801호,412220,37.6151893,126.8344271,,185317.082200179,457007.323503135,당구장업,사립,
고양시,리치 당구클럽,20080721,,13,영업중,,031-967-8273,,,"경기도 고양시 일산동구 동국로 20  (식사동,2층)",경기도 고양시 일산동구 식사동 662-11번지 2층,410820,37.6758552,126.8075724,,182959.138168693,463742.621424683,당구장업,사립,
고양시,명당구장,20090312,,13,영업중,,,,10346,"경기도 고양시 일산서구 탄중로 482 (일산동, 지하)",경기도 고양시 일산서구 일산동 584-17번지 지하,10346,37.6885416,126.7730169,,179913.75577872,465160.036585943,당구장업,사립,
고양시,프로당구클럽,20120426,,13,영업중,,919-3840,,10374,"경기도 고양시 일산서구 일산로 526, 지하1층 (일산동)",경기도 고양시 일산서구 일산동 1081-1 지하1층 ,10374,37.6772758687,126.7696070407,,179605.629980797    ,463899.883321542    ,당구장업,사립,
고양시,일산당구클럽,20070208,,13,영업중,,031-975-5447,,10340,"경기도 고양시 일산서구 원일로 127-2, 4층 (일산동)",경기도 고양시 일산서구 일산동 555번지 4층 ,10340,37.6850434,126.7764288,,180214.158360222    ,464771.335626978    ,당구장업,사립,
고양시,QnB당구장,20101020,,13,영업중,,031-901-0161,,10424,"경기도 고양시 일산동구 강촌로 24, 비101호 (백석동)",경기도 고양시 일산동구 백석동 1452번지 비101호,10424,37.6462167,126.7790168,,180433.486596454,460458.801374397,당구장업,사립,
고양시,M당구장,20090804,,13,영업중,,,,10374,"경기도 고양시 일산서구 일산로 542, 지층층 01호~04호 (일산동, 용신프라자)","경기도 고양시 일산서구 일산동 1079-1번지 용신프라자 지층01호,지층02호,지층03호,지층04호",10374,37.6779091,126.7679033,,179461.80169826,463979.26732064,당구장업,사립,
