시군명,사업장명,인허가일자,인허가취소일자,영업상태명,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지시설전화번호,소재지면적정보,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,업태구분명정보,X좌표값,Y좌표값,위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총종업원수,본사종업원수,공장사무소종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모정보,전통업소지정번호,전통업소주된음식,홈페이지URL
가평군,귀빈,19891101,,폐업,폐업,20071224,,,,031 5824352,110.50,경기도 가평군 북면 화악산로 14 (목동리),경기도 가평군 북면 목동리 886-22번지 ,12403,37.8863970,127.5499585,간이주점,248315.49463511     ,487236.074126608    ,간이주점,0,1,주택가주변,지도,상수도전용,,,,,,,,,N,110.5,,,
가평군,금수강산,19871222,,폐업,폐업,20110622,,,,,108.07,경기도 가평군 조종면 현창로 55 (현리),경기도 가평군 조종면 현리 589-6번지 ,12437,37.8194858,127.3473956,룸살롱,230523.374224188    ,479723.675252863    ,룸살롱,0,2,유흥업소밀집지역,관리,상수도전용,,,,,,,,,N,108.07,,,
가평군,금호클럽,19870202,,영업/정상,영업,,,,,031 584 9982,128.96,"경기도 가평군 청평면 여울길 37 (, 423-6)","경기도 가평군 청평면 청평리 419-2번지 , 423-6 ",12453,37.7363843,127.4194227,스텐드바,236905.675720007    ,470527.014449913    ,스텐드바,,,,,,,,,,,,,,Y,128.96,,,
가평군,꽃길가요클럽,20111201,,영업/정상,영업,,,,,,88.14,"경기도 가평군 가평읍 보납로 30, 지하1층",경기도 가평군 가평읍 읍내리 408-4번지 지하1층 ,12419,37.8308736642,127.5136652646,룸살롱,245156.300203241    ,481053.441414844    ,룸살롱,,,기타,,상수도전용,,,,,,,,,Y,88.14,,,
가평군,꽃밭에서,20080408,,영업/정상,영업,,,,,031 581 3938,136.40,"경기도 가평군 가평읍 굴다리길 4, 지하층",경기도 가평군 가평읍 대곡리 231-2 지하층 ,12420,37.8261556433,127.5147606936,룸살롱,245247.237102341    ,480524.611152378    ,룸살롱,,,,,,,,,,,,,,Y,136.4,,,
가평군,남남북녀,20040401,,영업/정상,영업,,,,,031 5857317,92.33,"경기도 가평군 조종면 조종새싹로4번길 11, 지하1층",경기도 가평군 조종면 현리 264-6번지 지하1층 ,12437,37.8189575702,127.3493466481,룸살롱,230694.874762023    ,479666.287739565    ,룸살롱,0,0,유흥업소밀집지역,,상수도전용,,,,,,,,,Y,92.33,,,
가평군,노래룸차,19881223,,영업/정상,영업,,,,,031 5847739,72.38,"경기도 가평군 설악면 신천중앙로 104, 1층",경기도 가평군 설악면 신천리 413-14번지 1층 ,12465,37.6773362418,127.4920255264,룸살롱,243341.685132685    ,464004.12409021     ,룸살롱,,,,,,,,,,,,,,Y,72.38,,,
가평군,대부 or 보스,20020112,,영업/정상,영업,,,,,031 5825410,96.04,경기도 가평군 가평읍 오리나무길 12,경기도 가평군 가평읍 대곡리 234-10번지 ,12420,37.8265383,127.5140783,룸살롱,245194.926587174    ,480575.38914587     ,룸살롱,,,,,,,,,,,,,,Y,96.04,,,
가평군,동궁,19960713,,폐업,폐업,20080613,,,,031 5829965,111.47,경기도 가평군 가평읍 가화로 55 (대곡리),경기도 가평군 가평읍 대곡리 168-11번지 ,12420,37.8248479,127.5153842,룸살롱,245312.424565087    ,480387.04721058     ,룸살롱,1,3,기타,지도,상수도전용,,,,,,,,,N,111.47,,,
가평군,드럼역,20071024,,영업/정상,영업,,,,,,148.01,"경기도 가평군 가평읍 굴다리길 11, 1층",경기도 가평군 가평읍 대곡리 240-1번지 1층 ,12420,37.8259033890,127.5138175096,스텐드바,245152.401645465    ,480497.207012433    ,스텐드바,,,,,,,,,,,,,,Y,148.01,,,
가평군,딥퍼플7080라이브,19820515,,영업/정상,영업,,,,,031 5827896,128.70,"경기도 가평군 가평읍 가화로 129, 지하1층",경기도 가평군 가평읍 읍내리 449-1번지 지하1층 ,12413,37.8310398136,127.5127463292,스텐드바,245075.715665632    ,481074.401718543    ,스텐드바,2,2,기타,지도,상수도전용,,,,,,,,,Y,128.7,,,
가평군,딱!좋은데이 노래장,19990625,,영업/정상,영업,,,,,031 5810292,140.16,"경기도 가평군 가평읍 오리나무길 31, 지하2층",경기도 가평군 가평읍 대곡리 164-1번지 지하2층 ,12420,37.8246554,127.5140767,룸살롱,245197.174825396    ,480364.304650058    ,룸살롱,,,,,,,,,,,,,,Y,140.16,,,
가평군,라밴드,19980123,,폐업,폐업,20161214,,,,,223.45,경기도 가평군 청평면 은행나무길 19 631-2 (대성리),경기도 가평군 청평면 대성리 632-1번지 631-2 ,12457,37.6798892,127.3751798,룸살롱,233032.233249669    ,464239.883790438    ,룸살롱,1,2,기타,관리,지하수전용,,,,,,,,,N,223.45,,,
가평군,레인보우,19990930,,영업/정상,영업,,,,,031 5840831,94.80,경기도 가평군 청평면 여울길 36-10 (외1필지),경기도 가평군 청평면 청평리 430번지 외1필지 ,12453,37.7366295952,127.4188455853,간이주점,236854.387439551    ,470552.230451132    ,간이주점,0,1,주택가주변,지도,상수도전용,,,,,,,,,N,94.8,,,
가평군,룸시크릿,20010614,,폐업,폐업,20171103,,,,031 5823637,127.66,"경기도 가평군 가평읍 가화로 55, 2층","경기도 가평군 가평읍 대곡리 168-4번지 외2필지, 2층 ",12420,37.8249303,127.5150781,룸살롱,245295.377725003    ,480394.771246892    ,룸살롱,,,,,,,,,,,,,,Y,127.66,,,
가평군,리갈룸클럽,20011109,,폐업,폐업,20070816,,,,031 5852545,55.51,경기도 가평군 조종면 조종희망로5번길 12 외 1필지 (현리),경기도 가평군 조종면 현리 264-66번지 외 1필지 ,12437,37.8190386,127.3493470,룸살롱,230695.711228669    ,479676.468930572    ,룸살롱,0,3,학교정화(상대),관리,상수도전용,,,,,,,,,N,55.51,,,
가평군,리치노래바,19851004,,폐업,폐업,20150319,,,,031 5822216,117.72,경기도 가평군 가평읍 오리나무길 2-1,경기도 가평군 가평읍 읍내리 349-14번지 ,12420,37.8272854,127.5142425,룸살롱,245210.878552816    ,480657.52761267     ,룸살롱,,,,,,,,,,,,,,N,117.72,,,
가평군,맥주창꼬,19840329,,폐업,폐업,20151012,,,,031 5829138,27.21,경기도 가평군 가평읍 가화로 139-1,경기도 가평군 가평읍 읍내리 454-4번지 ,12413,37.8317630,127.5121606,간이주점,245023.156251749    ,481153.665102034    ,간이주점,0,1,주택가주변,지도,,,,,,,,,,N,27.21,,,
가평군,머피노래타운,20150717,,영업/정상,영업,,,,,031 585 5256,137.50,경기도 가평군 조종면 조종새싹로4번길 15-6,경기도 가평군 조종면 현리 263-12번지 ,12437,37.8192081919,127.3499043256,룸살롱,230745.199255672    ,479693.668091604    ,룸살롱,,,학교정화(상대),,상수도전용,,,,,,,,,Y,137.5,,,
가평군,무지개노래장,20041122,,영업/정상,영업,,,,,031 5827795,94.30,"경기도 가평군 가평읍 가화로 125, 지하1층",경기도 가평군 가평읍 읍내리 470-1번지 지하1층 ,12418,37.8305973,127.5129704,룸살롱,245095.478692646    ,481024.34290484     ,룸살롱,0,0,기타,,상수도전용,,,,,,,,,Y,94.3,,,
가평군,문 노래빠,19900302,,영업/정상,영업,,,,,031 5858177,61.60,"경기도 가평군 조종면 조종희망로 39-9, 지하층",경기도 가평군 조종면 현리 277-8번지 지하 ,12437,37.8200915,127.3497608,룸살롱,230732.487494836    ,479793.383252019    ,룸살롱,,,,,,,,,,,,,,Y,61.6,,,
가평군,미시클럽대박,19880121,,폐업,폐업,20031018,,,,031 5857070,117.16,,경기도 가평군 조종면 현리 263-9번지 ,12437,37.8192087,127.3496998,룸살롱,230726.205118482    ,479693.750318244    ,룸살롱,0,3,유흥업소밀집지역,관리,상수도전용,,,,,,,,,N,117.16,,,
가평군,발렌타인,19961118,,폐업,폐업,20071231,,,,031 5827224,62.74,경기도 가평군 가평읍 보납로 30 (읍내리),경기도 가평군 가평읍 읍내리 408-4번지 ,12419,37.8308736,127.5136652,간이주점,245156.300203241    ,481053.441414844    ,간이주점,0,1,주택가주변,관리,,,,,,,,,,N,62.74,,,
가평군,벌때미인크럽,19831202,,폐업,폐업,20190121,,,,031 5843929,36.77,경기도 가평군 조종면 현창로56번길 21,경기도 가평군 조종면 현리 262-39번지 ,12437,37.8195963,127.3496449,룸살롱,230722.664627089    ,479737.87207694     ,룸살롱,,,,,,,,,,,,,,N,36.77,,,
가평군,베스트,20081009,,영업/정상,영업,,,,,031 584 5452,69.60,"경기도 가평군 조종면 조종희망로5번길 12-4, 1층","경기도 가평군 조종면 현리 264-66 외 1필지(264-67), 1층 ",12437,37.8191113240,127.3495442538,룸살롱,230695.711228669    ,479676.468930572    ,룸살롱,,,유흥업소밀집지역,,상수도전용,,,,,,,,,Y,69.6,,,
가평군,베스트,19821105,,폐업,폐업,20191018,,,,031 5853494,52.54,경기도 가평군 조종면 조종희망로5번길 12-5,경기도 가평군 조종면 현리 264-64번지 ,12437,37.8191191023,127.3495631909,룸살롱,230714.902081818    ,479685.054196888    ,룸살롱,0,2,주택가주변,지도,상수도전용,,,,,,,,,N,52.54,,,
가평군,별천지 라이브,20080820,,영업/정상,영업,,,,,031 585 6511,136.93,경기도 가평군 조종면 조종희망로5번길 24,경기도 가평군 조종면 현리 262-1번지 ,12437,37.8199561,127.3498396,비어(바)살롱,230739.625626159    ,479776.99661079     ,비어(바)살롱,,,유흥업소밀집지역,,상수도전용,,,,,,,,,Y,136.93,,,
가평군,별천지노래장,19830915,,영업/정상,영업,,,,,031 582 7157,58.75,경기도 가평군 가평읍 오리나무길 15,경기도 가평군 가평읍 대곡리 239-1번지 ,12420,37.8261502,127.5142460,카바레,245211.479558265    ,480530.78182836     ,카바레,,,,,,,,,,,,,,Y,58.75,,,
가평군,보영노래클럽,20061214,,영업/정상,영업,,,,,031 5841231,139.28,"경기도 가평군 설악면 신천중앙로 93, 지하1층","경기도 가평군 설악면 신천리 410-2번지 외 1필지, 지하1층 ",12467,37.6764772035,127.4927793606,룸살롱,243408.378317244    ,463909.123803665    ,룸살롱,,,,,,,,,,,,,,Y,139.28,,,
가평군,부킹,19821105,,영업/정상,영업,,,,,031 5850319,42.70,경기도 가평군 조종면 조종희망로5번길 12-1,경기도 가평군 조종면 현리 264-63번지 ,12437,37.8192006,127.3494045,룸살롱,230701.23208121     ,479691.965749207    ,룸살롱,,,,,,,,,,,,,,Y,42.7,,,
가평군,브이아이피,20051124,,폐업,폐업,20051215,,,,031 5825085,60.97,경기도 가평군 청평면 청평중앙로 55-1 (청평리),경기도 가평군 청평면 청평리 465-25번지 ,12452,37.7383541,127.4203414,룸살롱,236987.668990474    ,470746.353149921    ,룸살롱,0,0,학교정화(상대),지도,상수도전용,,,,,,,,,N,60.97,,,
가평군,비지니스,19890623,,영업/정상,영업,,,,,031 5851806,141.96,"경기도 가평군 청평면 청평중앙로 65, 지하1층",경기도 가평군 청평면 청평리 465-23번지 지하1층 ,12452,37.7389372058,127.4210594206,룸살롱,237050.18528937     ,470811.312386676    ,룸살롱,1,3,유흥업소밀집지역,지도,상수도전용,,,,,,,,,Y,141.96,,,
가평군,비타민,19821202,,폐업,폐업,20120327,,,,031 5842288,116.43,경기도 가평군 조종면 현창로 37-14,경기도 가평군 조종면 현리 408-3번지 ,12438,37.8181789,127.3475712,룸살롱,230538.802833296    ,479578.977182992    ,룸살롱,,,,,,,,,,,,,,N,116.43,,,
가평군,비타민노래광장,20090828,,폐업,폐업,20110801,,,,,114.85,경기도 가평군 가평읍 가화로 124 외 1필지 (읍내리),경기도 가평군 가평읍 읍내리 471-3번지 외 1필지 ,12419,37.8306760,127.5135275,기타,245145.010508504    ,481033.59833356     ,기타,,,,,,,,,,,,,,N,114.85,,,
가평군,비타민노래광장,20160706,,영업/정상,영업,,,,,,114.85,"경기도 가평군 가평읍 가화로 124, 2층","경기도 가평군 가평읍 읍내리 471-3번지 외 1필지, 2층 ",12419,37.8306760,127.5135275,노래클럽,245145.010508504    ,481033.59833356     ,노래클럽,,1,기타,,상수도전용,,,,,,,,,Y,114.85,,,
가평군,비틀즈,20030124,,영업/정상,영업,,,,,,136.61,"경기도 가평군 청평면 청평중앙로 59, 지하1층",경기도 가평군 청평면 청평리 465-17 지하1층 ,12452,37.7386204415,127.4207564100,룸살롱,237012.187362449    ,470771.836589667    ,룸살롱,,,,,,,,,,,,,,Y,136.61,,,
가평군,삼학도,19880607,,폐업,폐업,20040126,,,,,92.33,,"경기도 가평군 조종면 현리 264-6번지 ,7번지 ",12437,37.8189575,127.3493466,룸살롱,230694.874762023    ,479666.287739565    ,룸살롱,0,0,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,92.33,,,
가평군,술마시는 남진노래광장,20071026,,영업/정상,영업,,,,,031 582 2329,145.79,"경기도 가평군 가평읍 오리나무길 2, 2층","경기도 가평군 가평읍 읍내리 349-6번지 외 3필지, 2층 ",12420,37.8274293424,127.5143003146,룸살롱,245215.646870842    ,480671.662224889    ,룸살롱,,,,,,,,,,,,,,Y,145.79,,,
가평군,술마시는 다몽노래장,19841228,,영업/정상,영업,,,,,031 5843202,90.07,"경기도 가평군 청평면 여울길 33-1, 1층",경기도 가평군 청평면 청평리 419-1번지 1층 ,12453,37.7364918110,127.4195935579,스텐드바,236920.889427218    ,470539.197756283    ,스텐드바,,,,,,,,,,,,,,Y,90.07,,,
가평군,술마시는 발리 가요주점,20100810,,영업/정상,영업,,,,,,62.65,"경기도 가평군 상면 기와집길 11-2, 지하1층",경기도 가평군 상면 연하리 179-10번지 외 1필지 ,12444,37.8051818959,127.3555162474,룸살롱,231244.947559586    ,478139.307812754    ,룸살롱,,,기타,,상수도전용,,,,,,,,,Y,62.65,,,
가평군,술마시는 오아시스 노래장,19880415,,영업/정상,영업,,,,,031 5845955,114.70,"경기도 가평군 조종면 조종희망로5번길 7, 1층",경기도 가평군 조종면 현리 264-19번지 1층 ,12437,37.8187600339,127.3491185808,룸살롱,230666.427550092    ,479651.272402168    ,룸살롱,,,,,,,,,,,,,,Y,114.7,,,
가평군,술마시는 쟁반노래방,20060801,,영업/정상,영업,,,,,031 5815959,142.37,경기도 가평군 가평읍 가화로 117 (외 2필지),경기도 가평군 가평읍 읍내리 468-13번지 외 2필지 ,12418,37.8299831,127.5133297,룸살롱,245127.8843013      ,480957.176988484    ,룸살롱,0,0,기타,,상수도전용,,,,,,,,,Y,142.37,,,
가평군,술마시는 쥬 노래장,20010920,,영업/정상,영업,,,,,031 5810202,147.74,"경기도 가평군 가평읍 가화로 122, 지하1층",경기도 가평군 가평읍 읍내리 471-2번지 지하1층 ,12419,37.8305135,127.5136059,카바레,245150.711791185    ,481014.865839696    ,카바레,1,2,주택가주변,지도,상수도전용,,,,,,,,,Y,147.74,,,
가평군,술마시는 황진이노래장,20041224,,영업/정상,영업,,,,,031 5828400,142.38,"경기도 가평군 가평읍 오리나무길 31, 지하1층",경기도 가평군 가평읍 대곡리 164-1번지 지하1층 ,12420,37.8246554,127.5140767,룸살롱,245197.174825396    ,480364.304650058    ,룸살롱,0,0,유흥업소밀집지역,,상수도전용,,,,,,,,,Y,142.38,,,
가평군,술마시는1박2일노래장,20010613,,영업/정상,영업,,,,,031 5829863,148.47,경기도 가평군 가평읍 장터2길 6-14,경기도 가평군 가평읍 읍내리 474-6번지 ,12419,37.8292309,127.5143581,룸살롱,245218.150933328    ,480872.671246845    ,룸살롱,1,3,주택가주변,지도,상수도전용,,,,,,,,,Y,148.47,,,
가평군,술마시는궁전노래장,20071031,,영업/정상,영업,,,,,031 581 2108,162.99,경기도 가평군 가평읍 보납로 8-1,경기도 가평군 가평읍 읍내리 495-38번지 ,12418,37.8309561,127.5112690,룸살롱,244945.785289021    ,481063.384201685    ,룸살롱,,,,,,,,,,,,,,Y,162.99,,,
가평군,술마시는명지노래장,20170613,,영업/정상,영업,,,,,,98.55,"경기도 가평군 북면 화악산로 17, 1층","경기도 가평군 북면 목동리 886-10번지 , 1층 ",12403,37.8867847,127.5498818,노래클럽,248308.098320321    ,487280.180298884    ,노래클럽,1,,기타,,상수도전용,,,,,,,,,Y,98.55,,,
가평군,술마시는별노래장,20170103,,영업/정상,영업,,,,,,88.64,"경기도 가평군 북면 화악산로 18-1, 1층","경기도 가평군 북면 목동리 886-17번지 , 886-18(1층) ",12403,37.8866748,127.5502674,노래클럽,248342.702178405    ,487266.366593499    ,노래클럽,,,기타,,상수도전용,,,,,,,,,Y,88.64,,,
가평군,술마시는엔돌핀노래장,20080630,,폐업,폐업,20180402,,,,031 584 8399,131.58,경기도 가평군 청평면 시장중앙로 5,경기도 가평군 청평면 청평리 434-46번지 ,12453,37.7354943,127.4162867,룸살롱,236630.137551715    ,470426.5310233      ,룸살롱,,,기타,,상수도전용,,,,,,,,,N,131.58,,,
가평군,술마시는춘향이노래장,19940902,,폐업,폐업,20151020,,,,031 5810506,132.89,"경기도 가평군 가평읍 보납로34번길 16 (, 406-1)","경기도 가평군 가평읍 읍내리 403번지 , 406-1 ",12419,37.8295091,127.5146099,카바레,245240.045160165    ,480903.482430904    ,카바레,,,기타,,상수도전용,,,,,,,,,N,132.89,,,
가평군,술파는노래장,20050504,,폐업,폐업,20161124,,,,031 5841462,109.53,경기도 가평군 조종면 조종새싹로4번길 15-9,경기도 가평군 조종면 현리 263-9번지 ,12437,37.8192087,127.3496998,룸살롱,230726.205118482    ,479693.750318244    ,룸살롱,,,,,,,,,,,,,,N,109.53,,,
가평군,스카이가요주점,20060823,,영업/정상,영업,,,,,031 5855388,77.77,경기도 가평군 청평면 시장중앙로 8-14,경기도 가평군 청평면 청평리 438-58번지 외 1필지 ,12453,37.7354701,127.4155038,룸살롱,236513.613457892    ,470409.637856541    ,룸살롱,,,,,,,,,,,,,,Y,77.77,,,
가평군,스카이가요주점,20060310,,영업/정상,영업,,,,,031 5849761,70.72,경기도 가평군 청평면 시장중앙로 8-14 (외 1필지),경기도 가평군 청평면 청평리 438-53번지 외 1필지 ,12453,37.7354701,127.4155038,룸살롱,236561.557622838    ,470421.325905209    ,룸살롱,,,,,,,,,,,,,,Y,70.72,,,
가평군,썬노래타운,20140627,,영업/정상,영업,,,,,031 585 3737,143.55,"경기도 가평군 조종면 조종희망로 11-1, 2층",경기도 가평군 조종면 현리 411-4번지 2층 ,12437,37.8183167753,127.3497297957,기타,230730.299249537    ,479594.829699176    ,기타,,1,유흥업소밀집지역,,상수도전용,,,,,,,,,Y,143.55,,,
가평군,씽어송,20081204,,영업/정상,영업,,,,,031 584 4580,105.05,"경기도 가평군 조종면 조종새싹로4번길 17, 1층","경기도 가평군 조종면 현리 263-13번지 외 1필지, 1층 ",12437,37.8190099878,127.3499033977,룸살롱,230745.155269818    ,479671.756089952    ,룸살롱,,,,,,,,,,,,,,Y,105.05,,,
가평군,아라리오,20120314,,폐업,폐업,20201127,,,,,93.91,"경기도 가평군 청평면 청평중앙로 55, 지하1층",경기도 가평군 청평면 청평리 465-4 지하1층 ,12452,37.7384038394,127.4203367032,룸살롱,236979.597924827    ,470741.175724068    ,룸살롱,,,학교정화(상대),,상수도전용,,,,,,,,,Y,93.91,,,
가평군,아지트,20181023,,영업/정상,영업,,,,,031 581 7989,119.41,"경기도 가평군 가평읍 가화로 112, 지하1층",경기도 가평군 가평읍 읍내리 474-1번지 지하1층 ,12419,37.8297096,127.5140775,스텐드바,245194.40965722     ,480925.343872548    ,스텐드바,1,,유흥업소밀집지역,,상수도전용,,,,,,,,,Y,119.41,,,
가평군,아카데미스텐드바,20020914,,폐업,폐업,20071015,,,,031 5812055,276.40,,"경기도 가평군 가평읍 대곡리 230-3번지 230-11,230-8,240-6,240-4 ",12420,37.8249884,127.5141585,스텐드바,245202.897129881    ,480399.438730518    ,스텐드바,0,0,유흥업소밀집지역,관리,상수도전용,,,,,,,,,N,276.4,,,
가평군,앵콜,20100517,,영업/정상,영업,,,,,,139.96,"경기도 가평군 조종면 조종새싹로4번길 14, 2층","경기도 가평군 조종면 현리 263-19 외 2필지, 2층 ",12437,37.8189584050,127.3497831658,룸살롱,230732.049898941    ,479655.072907186    ,룸살롱,,,유흥업소밀집지역,,상수도전용,,,,,,,,,Y,139.96,,,
가평군,야누스,20010828,,폐업,폐업,20060502,,,,031 5843574,131.77,경기도 가평군 조종면 조종새싹로4번길 15-6 외1필지 (현리),경기도 가평군 조종면 현리 263-12번지 외1필지 ,12437,37.8192081,127.3499043,룸살롱,230745.199255672    ,479693.668091604    ,룸살롱,0,3,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,131.77,,,
가평군,야화,19990922,,폐업,폐업,20120723,,,,031 5851319,72.43,"경기도 가평군 조종면 조종새싹로4번길 13 (,20)","경기도 가평군 조종면 현리 264-18번지 ,20 ",12437,37.8189840,127.3495398,룸살롱,230713.481872842    ,479669.434869608    ,룸살롱,0,3,유흥업소밀집지역,지도,상수도전용,,,,,,,,,N,72.43,,,
가평군,여인천하노래방,20040527,,영업/정상,영업,,,,,031 5827769,92.38,"경기도 가평군 가평읍 오리나무길 29-9, 2층","경기도 가평군 가평읍 대곡리 230-3번지 외 2필지, 2층 ",12420,37.8250200306,127.5143854910,룸살롱,245202.897129881    ,480399.438730518    ,룸살롱,,,,,,,,,,,,,,Y,92.38,,,
가평군,연예인,19821105,,폐업,폐업,20040513,,,,031 5852545,55.08,경기도 가평군 조종면 조종희망로5번길 14 (현리),경기도 가평군 조종면 현리 264-61번지 ,12437,37.8192906,127.3494504,룸살롱,230705.915255041    ,479702.270361302    ,룸살롱,0,2,주택가주변,지도,상수도전용,,,,,,,,,N,55.08,,,
가평군,영린노래장,20040212,,영업/정상,영업,,,,,031 5827769,127.26,"경기도 가평군 가평읍 가화로 104-1, 지하1층","경기도 가평군 가평읍 읍내리 350-1번지 외 2필지, 지하1층 ",12419,37.8289879,127.5142997,룸살롱,245232.332361064    ,480858.203846266    ,룸살롱,0,0,기타,관리,,,,,,,,,,Y,127.26,,,
가평군,오디션노래주점,20081212,,영업/정상,영업,,,,,031 584 6782,160.96,경기도 가평군 설악면 신천중앙로 100,경기도 가평군 설악면 신천리 414-12번지 ,12465,37.6772256,127.4926142,룸살롱,243392.668454063    ,463990.812287997    ,룸살롱,,,기타,,상수도전용,,,,,,,,,Y,160.96,,,
가평군,오림피아,19861219,,폐업,폐업,20020128,,,,,242.86,경기도 가평군 가평읍 오리나무길 15 (대곡리),경기도 가평군 가평읍 대곡리 239-1번지 ,12420,37.8261502,127.5142460,룸살롱,245211.479558265    ,480530.78182836     ,룸살롱,0,1,유흥업소밀집지역,관리,상수도전용,,,,,,,,,N,242.86,,,
가평군,용궁,20040902,,영업/정상,영업,,,,,031 5851666,51.09,경기도 가평군 조종면 조종희망로5번길 12-3 (외1필지),경기도 가평군 조종면 현리 264-17번지 외1필지 ,12437,37.8191463641,127.3494838175,룸살롱,230708.638711067    ,479688.146535932    ,룸살롱,,,,,,,,,,,,,,Y,51.09,,,
가평군,용궁,19821105,,폐업,폐업,20040824,,,,031 5850216,55.03,경기도 가평군 조종면 조종희망로5번길 12-3 (현리),경기도 가평군 조종면 현리 264-17번지 ,12437,37.8191463,127.3494838,카바레,230708.638711067    ,479688.146535932    ,카바레,0,2,주택가주변,지도,상수도전용,,,,,,,,,N,55.03,,,
가평군,원타임,20030208,,영업/정상,영업,,,,,031 5857334,87.24,"경기도 가평군 설악면 신천중앙로 136-1, 지하1층",경기도 가평군 설악면 신천리 464-4번지 지하1층 ,12465,37.6778100,127.4885599,룸살롱,243033.499096901    ,464054.714331861    ,룸살롱,,,,,,,,,,,,,,Y,87.24,,,
